Kinase	Observed	SamplingAvg	SD	Z
PKCH	8	3.1515	1.5042204258501386	3.223264301347177
PAKB	2	0.3885	0.5574254313859189	2.8909696423310836
PKCD	6	2.599	1.359088871737474	2.502411778011341
CDK	15	19.8025	2.1482088237821033	-2.2355834064328954
BRSK	1	0.192	0.3939715812129115	2.0509093511578387
MAPKAPK	5	9.7455	2.3311900337567386	-2.03565557988963
JNK	5	9.5355	2.25461335725116	-2.0116531224359075
PASK	1	0.1985	0.3989703481078947	2.008921223848064
BARK2	2	0.6105	0.7000248334049956	1.9849295820568587
IKK	16	11.4845	2.3754117623099074	1.9009335861876087
P38	6	10.3065	2.2674056351162837	-1.8993072669942188
MELK	9	5.6095	1.8954699029730169	1.788738504727535
GRK	0	2.399	1.3445084051153093	-1.7842952791315976
DYRK	7	10.701	2.292209875438226	-1.6145990991738666
PKG	13	9.5015	2.238415287988525	1.5629360730214665
ERK	8	11.692	2.3731733977920775	-1.5557228154651133
PKCI	4	2.239	1.2699154864286581	1.386706453161228
STKR	0	1.3705	1.030903065552374	-1.3294169411220682
NDR	0	1.0385	0.8725814857218851	-1.1901467278335052
PAKA	9	6.614	2.005496199822815	1.189730501713642
COT	2	0.9825	0.8675079452186641	1.1728999205229513
CHK1	1	2.5465	1.377238593371365	-1.122899116713174
MTOR	3	4.987	1.8197490880260625	-1.0919087763661746
NEK	6	4.216	1.6872366116499031	1.0573502185063863
PRKDC	1	2.418	1.3605886964106384	-1.0421959286747113
HAL	1	0.419	0.567979137072899	1.0229248964921571
MSN	0	0.8	0.788867007535357	-1.0141126354104042
ATM	0	0.783	0.8045089292908154	-0.9732645238508717
AKT	10	7.9185	2.1728364777818854	0.9579644033428945
STE7	8	10.2245	2.3265438214391185	-0.9561393082310408
LKB	1	2.1955	1.262567538151602	-0.9468800391860314
NMO	1	2.187	1.2640529715789124	-0.9390429251689771
MLK	5	3.566	1.5581585057254228	0.9203171530565057
PKA	14	11.9015	2.3303461130276877	0.9005100093365687
CAMK2	2	3.3755	1.5354734088529984	-0.8958149272200691
RIPK	6	7.57	2.069599386550548	-0.7586009206432737
NAK	0	0.416	0.5631185943259535	-0.7387431425487685
DMPK	22	20.4395	2.123345013657345	0.7349253135796927
RAD53	5	6.4995	2.0508785437954877	-0.7311500744578122
TTK	0	0.418	0.5722234876863497	-0.7304838214350203
RAF	6	4.683	1.8160837205481526	0.7251868320269327
PKN	0	0.403	0.5681129959683144	-0.7093659234341414
CAMK1	3	4.1765	1.6830817365968989	-0.6990153683081488
PKD	10	8.463	2.2081822919580842	0.6960476069378678
NUAK	0	0.399	0.5744249141454395	-0.6946077549466746
GSK	3	4.183	1.7067417741831572	-0.6931335588631625
TLK	0	0.381	0.5522603514175844	-0.6898920029692877
AUR	3	2.167	1.274332359112308	0.6536756239794953
PDK1	11	12.53	2.387247258818694	-0.6409055427116104
PKCA	25	24.0025	1.6182716556795365	0.6163983633397655
FRAY	5	3.9955	1.6669940565557804	0.6025816325196885
IRAK	2	2.7825	1.4398716488571444	-0.5434512170727762
KHS	0	0.2125	0.4091790118418416	-0.5193325997916453
NIK	0	0.204	0.4030697614759859	-0.506115862556844
CK1	7	8.101	2.1758138897988313	-0.5060175436704266
SLK	0	0.2035	0.40270191757329465	-0.5053365556993195
WNK	0	0.1985	0.3989703481078947	-0.4975307085886971
CLK	0	0.195	0.3962997940491285	-0.4920517318659677
ULK	0	0.19	0.3923990169384311	-0.4842010091727924
QIK	13	14.162	2.402632373285722	-0.4836362037405276
MOS	0	0.1895	0.3920032950010061	-0.4834143039525054
BUD32	0	0.1845	0.38798842445201165	-0.4755296508151879
CAMKK	0	0.182	0.38594102559538657	-0.4715746394652675
TAO	0	0.18	0.38428353714212016	-0.4684041406994501
AMPK	4	4.801	1.7697358510498808	-0.4526099188897675
ATR	2	2.6315	1.3977426774253365	-0.45179989865032427
SGK	6	5.205	1.8996787596051201	0.41849180867045854
CK2	2	1.567	1.0849421872961194	0.399099606476837
PIM	15	14.132	2.385879756212696	0.363807102072004
PLK	10	9.1995	2.2716249448236328	0.3523909181505091
PEK	20	19.248	2.2187738683199263	0.3389259314512386
RSK	16	16.485	2.332057942488471	-0.20797081889074764
MARK	1	1.1785	0.9586956235684633	-0.1861904817460063
PDHK	12	12.375	2.324021415083967	-0.16135823773657063
DAPK	5	4.757	1.777225440154559	0.13672998062579358
PHK	19	19.2295	2.220201431672045	-0.10336899919353892
MST	5	5.0345	1.8099579342796701	-0.01906121647723862
MLCK	1	1.016	0.9028574504249793	-0.017721512950320935
VRK1	1	0.9925	0.8898537350794891	0.008428351429384055
STE11	2	2	1.2139756457335613	0
