Kinase Score
JNK -3.3959562565868606
ERK -3.350165009868154
DYRK -3.000840368451981
PLK -2.954402567747699
PKG 2.798176476956181
P38 -2.7907864337865593
CDK -2.7275318914899573
STE7 -2.72306290835617
DMPK 2.6636622627763806
PKCI 2.643140432616007
PKCD 2.558842114826308
PIM 2.5197023104664686
PDK1 -2.4141818288121795
PKCH 2.349078927170895
CK1 -2.215080156504915
PKA 2.2140122617821887
AUR 1.9939018577844443
STKR -1.9661337182571548
LKB -1.9585701436370915
NMO -1.9239489639094542
PEK -1.9114713920756736
PHK 1.880301876956562
PAKB 1.864852823725582
AKT 1.764186957549253
RSK 1.7214782521717291
PKD 1.6989727606980904
CAMK2 -1.6963526034709262
GRK -1.4058440875108098
BRSK 1.3301120482657949
PASK 1.3215063832154277
RAD53 1.3138918187865793
NEK -1.3019219502828767
COT 1.142646154619924
HAL -1.1250500517961608
BARK2 1.0930389542149002
AMPK 1.087890465292798
PKCA 1.087867917567862
STE11 -1.0878168131671613
TLK -1.079009010240835
TTK -1.0677714979633242
NAK -1.0651336875432011
NUAK -1.0640137072175249
MARK -1.0474625390213606
IKK -1.0373076911985377
MAPKAPK -0.982798570007648
PAKA 0.8575611208260411
PRKDC -0.8111122394473207
GSK -0.7893799949433854
RAF -0.7828245994020384
VRK1 -0.7775807453976904
KHS -0.7744029958619737
CAMKK -0.7735771859807294
CLK -0.7604227109244308
NDR -0.7602435724113125
MLK 0.7570050071670898
MLCK -0.7559551507141427
ULK -0.7481860539296704
WNK -0.7449378151007167
SLK -0.7425056127394414
TAO -0.7384593804460601
NIK -0.7376512344118619
BUD32 -0.7279812986827536
MOS -0.7159629001789672
DAPK 0.6105048968111344
MST -0.4913653635268194
MSN -0.4780472212200548
ATM -0.47349296599956187
MTOR -0.4569948655617555
ATR -0.4439694214204311
CHK1 -0.4147509986231131
PKN 0.4011188674652696
MELK 0.38763244018782655
RIPK -0.32249088353085104
SGK 0.2678043005253337
QIK -0.23685710667498824
CAMK1 0.18256418098626512
PDHK -0.15714446148424954
FRAY -0.13721434463757545
CK2 0.06871735849694943
IRAK -0.045462977823295114
