Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,68.51423299563942,8,PTM-SEA,0.8873239436619719,4,AGC,SGK,NA,SGK1
CHEK1,-9.114160836115953,44,PTM-SEA,0.3380281690140845,2,CAMK,CAMKL,CHK1,CHEK1
AURKA,-37.86374240006248,22,PTM-SEA,0.6901408450704225,3,OTHER,AUR,NA,AURKA
DAPK3,0,54,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,79.83601387760774,5,PTM-SEA,0.9295774647887324,4,AGC,RSK,MSK,RPS6KA5
CHEK2,-28.19229365232129,27,PTM-SEA,0.6056338028169014,3,CAMK,RAD53,NA,CHEK2
RAF1,-9.589663328407715,43,PTM-SEA,0.352112676056338,2,TKL,RAF,RAF,RAF1
PRKCG,0,54,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,21.496233555185366,31,PTM-SEA,0.5492957746478874,3,AGC,PKC,ALPHA,PRKCB
CDK1,75.58161279637864,7,PTM-SEA,0.9014084507042254,4,CMGC,CDK,CDC2,CDK1
ARAF,-81.31297348378948,4,PTM-SEA,0.9436619718309859,4,TKL,RAF,RAF,ARAF
PIM1,-3.5933440719965777,50,PTM-SEA,0.2535211267605634,2,CAMK,PIM,NA,PIM1
CDK4,44.10414809618756,18,PTM-SEA,0.7464788732394366,3,CMGC,CDK,CDK4,CDK4
BRAF,-81.31297348378948,4,PTM-SEA,0.9436619718309859,4,TKL,RAF,RAF,BRAF
PRKCA,-22.77988474815594,29,PTM-SEA,0.5774647887323944,3,AGC,PKC,ALPHA,PRKCA
PRKACA,13.414385500387196,41,PTM-SEA,0.4084507042253521,2,AGC,PKA,NA,PRKACA
PRKACG,3.194690198794045,51,PTM-SEA,0.23943661971830985,1,AGC,PKA,NA,PRKACG
PRKACB,-9.747232627318411,42,PTM-SEA,0.36619718309859156,2,AGC,PKA,NA,PRKACB
RPS6KB1,38.830406966800915,20,PTM-SEA,0.7183098591549296,3,AGC,RSK,P70,RPS6KB1
CDK2,61.75286385264494,9,PTM-SEA,0.8732394366197183,4,CMGC,CDK,CDC2,CDK2
MAPK3,54.30712923721424,12,PTM-SEA,0.8309859154929577,4,CMGC,MAPK,ERK1,MAPK3
MAPK1,31.26153199318649,24,PTM-SEA,0.647887323943662,3,CMGC,MAPK,ERK1,MAPK1
AKT1,20.293761658220426,33,PTM-SEA,0.5211267605633803,3,AGC,AKT,NA,AKT1
AKT2,-43.04992639694196,19,PTM-SEA,0.7323943661971831,3,AGC,AKT,NA,AKT2
MAP3K8,18.448762687597924,35,PTM-SEA,0.49295774647887325,2,STE,STE-UNIQUE,NA,MAP3K8
PRKCI,-9.747232627318411,42,PTM-SEA,0.36619718309859156,2,AGC,PKC,IOTA,PRKCI
MAPK8,30.02715685637691,25,PTM-SEA,0.6338028169014085,3,CMGC,MAPK,JNK,MAPK8
MAPK9,0,54,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
CSNK1A1,0,54,PTM-SEA,0,1,CK1,CK1,CK1-A,CSNK1A1
CSNK1D,0,54,PTM-SEA,0,1,CK1,CK1,CK1-D,CSNK1D
MAPKAPK2,37.94464758075903,21,PTM-SEA,0.704225352112676,3,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,87.84292710499241,2,PTM-SEA,0.9859154929577465,4,CMGC,GSK,NA,GSK3B
CDK7,96.95049504950495,1,PTM-SEA,1,4,CMGC,CDK,CDK7,CDK7
CDK9,34.33663366336633,23,PTM-SEA,0.6619718309859155,3,CMGC,CDK,CDK9,CDK9
RPS6KA3,45.01870901910244,17,PTM-SEA,0.7605633802816901,4,AGC,RSK,RSK,RPS6KA3
NEK2,0,54,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0.039366894344572856,53,PTM-SEA,0.2112676056338028,1,CAMK,DAPK,DAPK,DAPK1
PRKAA2,-46.769126495101695,16,PTM-SEA,0.7746478873239436,4,CAMK,CAMKL,AMPK,PRKAA2
CSNK2A1,-83.15135967984719,3,PTM-SEA,0.971830985915493,4,CMGC,CK2,NA,CSNK2A1
PRKDC,-19.150696035636997,34,PTM-SEA,0.5070422535211268,3,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,15.561239764316738,38,PTM-SEA,0.4507042253521127,2,ATYPICAL,PIKK,ATM,ATM
AURKB,-48.26707680556366,15,PTM-SEA,0.7887323943661971,4,OTHER,AUR,NA,AURKB
CDK3,0,54,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,34.33663366336633,23,PTM-SEA,0.6619718309859155,3,CMGC,CDK,CDK4,CDK6
CDK5,-26.53269146386915,28,PTM-SEA,0.5915492957746479,3,CMGC,CDK,CDK5,CDK5
PRKCE,14.27513277715847,40,PTM-SEA,0.4225352112676056,2,AGC,PKC,ETA,PRKCE
PRKCQ,51.35181487260539,13,PTM-SEA,0.8169014084507042,4,AGC,PKC,DELTA,PRKCQ
PRKCZ,49.515087929368754,14,PTM-SEA,0.8028169014084507,4,AGC,PKC,IOTA,PRKCZ
PRKCD,55.98417417029398,11,PTM-SEA,0.8450704225352113,4,AGC,PKC,DELTA,PRKCD
PRKAA1,-28.61150354864237,26,PTM-SEA,0.6197183098591549,3,CAMK,CAMKL,AMPK,PRKAA1
PAK1,4.198693333651563,49,PTM-SEA,0.2676056338028169,2,STE,STE20,PAKA,PAK1
PAK2,58.57425742574258,10,PTM-SEA,0.8591549295774648,4,STE,STE20,PAKA,PAK2
PRKG2,21.375106288720573,32,PTM-SEA,0.5352112676056338,3,AGC,PKG,NA,PRKG2
ROCK1,0,54,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,-15.045913002020615,39,PTM-SEA,0.43661971830985913,2,ATYPICAL,PIKK,ATR,ATR
CAMK2G,0,54,PTM-SEA,0,1,CAMK,CAMK2,NA,CAMK2G
DYRK1A,16.476855871328247,37,PTM-SEA,0.4647887323943662,2,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,-16.652944203085628,36,PTM-SEA,0.4788732394366197,2,AGC,PKG,NA,PRKG1
PRKD1,6.720659017517385,45,PTM-SEA,0.323943661971831,2,CAMK,PKD,NA,PRKD1
RPS6KA2,-1.3811709869765285,52,PTM-SEA,0.22535211267605634,1,AGC,RSK,RSK,RPS6KA2
RPS6KA1,4.725468162903004,48,PTM-SEA,0.28169014084507044,2,AGC,RSK,RSK,RPS6KA1
PKN1,5.4100057795744725,47,PTM-SEA,0.29577464788732394,2,AGC,PKN,NA,PKN1
MAPK14,79.4192299502942,6,PTM-SEA,0.9154929577464789,4,CMGC,MAPK,P38,MAPK14
PIM3,-9.747232627318411,42,PTM-SEA,0.36619718309859156,2,CAMK,PIM,NA,PIM3
BRSK2,0,54,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,54,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PASK,0,54,PTM-SEA,0,1,CAMK,CAMKL,PASK,PASK
VRK1,0,54,PTM-SEA,0,1,CK1,VRK,NA,VRK1
