Kinase Score
JNK -3.177875475753098
PKCI 2.8205680810892226
P38 -2.8088954324349014
STE7 -2.696180015717379
FRAY 2.6371080781951797
CDK -2.621432472821694
PLK -2.5551038078570607
ERK -2.5494062946849056
CK1 -2.5370061849859304
AUR 2.352549260417766
MLK 2.138574021459418
MSN 2.090834315333785
NMO -2.0576812875137955
STKR -1.8692894883184275
BARK2 1.8121175937610232
AKT 1.7583548828811302
PKA 1.751486874187025
PKCD 1.5998068386542517
MARK -1.5988296439028757
PAKA 1.5503331613689644
IRAK -1.4957979027841657
DYRK -1.436654560328396
VRK1 1.4338908637119607
NAK -1.3648419239871088
IKK -1.345026514655949
TLK -1.31961881879369
CHK1 -1.2852590684369714
DMPK 1.2616178478903584
PKCH 1.2452478449893536
STE11 -1.1879540881690305
MELK 1.0800882405582792
GRK -1.0703403620136043
WNK 1.0510521044723662
SLK 1.045798124533357
PASK 1.0209698667667721
CLK -1.017910383020778
BUD32 1.0128323062819578
TAO 0.9997499687421849
QIK 0.9698777036000464
CAMKK -0.9614912122839846
KHS -0.960528700568278
BRSK -0.95860633403229345
ULK -0.9528602983079959
NIK -0.945247282060321
MOS -0.9433525261840586
MTOR 0.8556624697323767
RAD53 0.8513078317831217
PHK 0.79589609354988
RSK 0.6825185875631332
RAF -0.6812024991029282
PKG 0.6299562937110866
SGK 0.6137536818133152
CAMK2 -0.6108306661803395
CK2 -0.6100372947130703
COT 0.5822651176044569
PIM 0.5750435275186596
CAMK1 -0.5483924571895414
NDR 0.5403281428683502
GSK -0.5359746260046894
PDK1 -0.510610714618746
MLCK 0.4858496118486958
RIPK -0.479979382786473
NEK 0.47284406851426897
PDHK 0.35977877026829647
PKCA 0.32790034735312573
PEK -0.27777417960075435
LKB -0.20980587714893834
AMPK 0.2046527084453422
DAPK 0.1803667828971431
ATR -0.13198921378797868
MAPKAPK 0.1273220168620371
PRKDC 0.11629053495590887
PKD 0.10292507567488095
HAL 0.08991799032035343
ATM 0.08053512943029197
MST -0.06566272764985341
TTK 0.06282136809575463
PAKB 0.05451827457051135
PKN 0.044919691812647
NUAK 0.01333323705149584
