Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,30.059781185466413,35,PTM-SEA,0.42857142857142855,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,46,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-95.00082719585181,5,PTM-SEA,0.9285714285714286,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,40.32213260948051,29,PTM-SEA,0.5142857142857142,3,OTHER,AUR,AUR,AURKA
RPS6KA5,0,46,PTM-SEA,0,1,AGC,RSK,MSK,RPS6KA5
CHEK2,-90.52314329136371,8,PTM-SEA,0.8857142857142857,4,CAMK,RAD53,RAD53,CHEK2
RAF1,73.02562981286025,14,PTM-SEA,0.7428571428571429,3,TKL,RAF,RAF,RAF1
PRKCG,0,46,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-35.01519115014263,33,PTM-SEA,0.45714285714285713,2,AGC,PKC,ALPHA,PRKCB
CDK1,-25.824298068822024,39,PTM-SEA,0.37142857142857144,2,CMGC,CDK,CDC2,CDK1
ARAF,108.26359117223296,1,PTM-SEA,0.9857142857142858,4,TKL,RAF,RAF,ARAF
PIM1,79.63973439113127,11,PTM-SEA,0.7857142857142857,4,CAMK,PIM,PIM,PIM1
CDK4,-37.40986556804317,31,PTM-SEA,0.4857142857142857,2,CMGC,CDK,CDK4,CDK4
SRC,0,46,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,108.26359117223296,1,PTM-SEA,0.9857142857142858,4,TKL,RAF,RAF,BRAF
PRKCA,-33.238618483752326,34,PTM-SEA,0.44285714285714284,2,AGC,PKC,ALPHA,PRKCA
PRKACA,3.9524883402487236,45,PTM-SEA,0.2857142857142857,2,AGC,PKA,PKA,PRKACA
PRKACG,42.44324727116778,28,PTM-SEA,0.5285714285714286,3,AGC,PKA,PKA,PRKACG
PRKACB,79.63973439113127,11,PTM-SEA,0.7857142857142857,4,AGC,PKA,PKA,PRKACB
RPS6KB1,49.312340103527426,25,PTM-SEA,0.5714285714285714,3,AGC,RSK,P70,RPS6KB1
CDK2,-64.96422214923949,20,PTM-SEA,0.6571428571428571,3,CMGC,CDK,CDC2,CDK2
MAPK3,-59.28792194249233,21,PTM-SEA,0.6428571428571429,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,16.546356157355888,44,PTM-SEA,0.3,2,CMGC,MAPK,ERK1,MAPK1
AKT1,51.81002882603233,24,PTM-SEA,0.5857142857142857,3,AGC,AKT,AKT,AKT1
AKT2,105.22625671685714,3,PTM-SEA,0.9571428571428572,4,AGC,AKT,AKT,AKT2
MAP3K8,43.00240507229053,27,PTM-SEA,0.5428571428571428,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,79.63973439113127,11,PTM-SEA,0.7857142857142857,4,AGC,PKC,IOTA,PRKCI
MTOR,0,46,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,0,46,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,-43.27005208590799,26,PTM-SEA,0.5571428571428572,3,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,29.60266033766846,36,PTM-SEA,0.4142857142857143,2,CMGC,GSK,GSK,GSK3B
CDK7,-70.04940711462449,17,PTM-SEA,0.7,3,CMGC,CDK,CDK7,CDK7
CDK9,52.91501976284585,23,PTM-SEA,0.6,3,CMGC,CDK,CDK9,CDK9
RPS6KA3,17.51894219845216,43,PTM-SEA,0.3142857142857143,2,AGC,RSK,RSK,RPS6KA3
NEK2,0,46,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0,46,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK1
PRKAA2,91.90798826463174,7,PTM-SEA,0.9,4,CAMK,CAMKL,AMPK,PRKAA2
CSNK2A1,106.69933188014843,2,PTM-SEA,0.9714285714285714,4,CMGC,CK2,CK2,CSNK2A1
PRKDC,-66.52173913043477,18,PTM-SEA,0.6857142857142857,3,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,0,46,PTM-SEA,0,1,ATYPICAL,PIKK,ATM,ATM
AURKB,-79.25356710209661,12,PTM-SEA,0.7714285714285715,4,OTHER,AUR,AUR,AURKB
CDK3,0,46,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,52.91501976284585,23,PTM-SEA,0.6,3,CMGC,CDK,CDK4,CDK6
CDK5,-28.042698767188252,38,PTM-SEA,0.38571428571428573,2,CMGC,CDK,CDK5,CDK5
PRKCE,73.01090309547483,15,PTM-SEA,0.7285714285714285,3,AGC,PKC,ETA,PRKCE
PRKCQ,36.343404273522495,32,PTM-SEA,0.4714285714285714,2,AGC,PKC,DELTA,PRKCQ
PRKCZ,-19.911218316266698,40,PTM-SEA,0.35714285714285715,2,AGC,PKC,IOTA,PRKCZ
PRKCD,-19.833898785403377,41,PTM-SEA,0.34285714285714286,2,AGC,PKC,DELTA,PRKCD
PRKAA1,71.10634548824292,16,PTM-SEA,0.7142857142857143,3,CAMK,CAMKL,AMPK,PRKAA1
PAK1,28.43663564593127,37,PTM-SEA,0.4,2,STE,STE20,PAKA,PAK1
PAK2,65.00988142292489,19,PTM-SEA,0.6714285714285714,3,STE,STE20,PAKA,PAK2
PRKG2,18.016941129589526,42,PTM-SEA,0.32857142857142857,2,AGC,PKG,PKG,PRKG2
ROCK1,0,46,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,0,46,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
CAMK2G,0,46,PTM-SEA,0,1,CAMK,CAMK2,CAMK2,CAMK2G
DYRK1A,0,46,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,38.41031367043463,30,PTM-SEA,0.5,3,AGC,PKG,PKG,PRKG1
PRKD1,86.12923634083708,9,PTM-SEA,0.8714285714285714,4,CAMK,PKD,PKD,PRKD1
RPS6KA2,78.80390449246562,13,PTM-SEA,0.7571428571428571,4,AGC,RSK,RSK,RPS6KA2
RPS6KA1,55.53655390806125,22,PTM-SEA,0.6285714285714286,3,AGC,RSK,RSK,RPS6KA1
PKN1,-80.0652653256935,10,PTM-SEA,0.8571428571428571,4,AGC,PKN,PKN,PKN1
MAPK14,-93.30217459238604,6,PTM-SEA,0.9142857142857143,4,CMGC,MAPK,P38,MAPK14
PIM3,79.63973439113127,11,PTM-SEA,0.7857142857142857,4,CAMK,PIM,PIM,PIM3
BRSK2,0,46,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,46,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PASK,0,46,PTM-SEA,0,1,CAMK,CAMKL,PASK,PASK
VRK1,0,46,PTM-SEA,0,1,CK1,VRK,VRK,VRK1
PLK3,0,46,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,46,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,79.63973439113127,11,PTM-SEA,0.7857142857142857,4,CAMK,PIM,PIM,PIM2
AKT3,97.6894775944464,4,PTM-SEA,0.9428571428571428,4,AGC,AKT,AKT,AKT3
AAK1,304,272,KEA3,0.08,1,OTHER,NAK,BIKE,AAK1
ABL1,43.666666666666664,26,KEA3,0.9257142857142857,4,TK,ABL,ABL,ABL1
ABL2,168,168,KEA3,0.4228571428571429,2,TK,ABL,ABL,ABL2
ACVR1,103.5,96,KEA3,0.6914285714285714,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,221,217,KEA3,0.25142857142857145,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,214,212,KEA3,0.2714285714285714,2,TKL,STKR,TYPE2,ACVR2B
AKT1,51,35,KEA3,0.8914285714285715,4,AGC,AKT,AKT,AKT1
AKT2,52,36,KEA3,0.8885714285714286,4,AGC,AKT,AKT,AKT2
AKT3,61,46,KEA3,0.8542857142857143,4,AGC,AKT,AKT,AKT3
ALK,75.5,62,KEA3,0.8028571428571428,4,TK,ALK,ALK,ALK
ARAF,104.5,99,KEA3,0.68,3,TKL,RAF,RAF,ARAF
ATM,114,110,KEA3,0.64,3,ATYPICAL,PIKK,ATM,ATM
ATR,70.33333333333333,54,KEA3,0.8257142857142857,4,ATYPICAL,PIKK,ATR,ATR
AURKA,10.666666666666666,3,KEA3,0.9942857142857143,4,OTHER,AUR,AUR,AURKA
AURKB,39.666666666666664,23,KEA3,0.9342857142857143,4,OTHER,AUR,AUR,AURKB
AURKC,186.5,188,KEA3,0.35714285714285715,2,OTHER,AUR,AUR,AURKC
AXL,174,175,KEA3,0.4,2,TK,AXL,AXL,AXL
BLK,260.5,246,KEA3,0.15714285714285714,1,TK,SRC,SRCB,BLK
BMP2K,329,292,KEA3,0.022857142857142857,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,171.5,170,KEA3,0.41714285714285715,2,TKL,STKR,TYPE1,BMPR1A
