Kinase,HGNC,Perc,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,SGK1,0.6451612903225806,0.6451612903225806,-1,-1,-1,0.3057904494571744,38,0.35426724094562984
CHEK1,CHEK1,0.9516129032258064,0.9516129032258064,-1,-1,-1,0.32932339409189554,51,0.44998645773629947
AURKA,AURKA,0.9032258064516128,0.9032258064516128,-1,-1,-1,0.3256076659916764,49,0.43487289719040423
DAPK3,DAPK3,0,0,-1,-1,-1,0.2562474081209193,11,0.15275310033369374
RPS6KA5,RPS6KA5,0,0,-1,-1,-1,0.2562474081209193,11,0.15275310033369374
CHEK2,CHEK2,0.935483870967742,0.935483870967742,-1,-1,-1,0.3280848180584892,50,0.4449486042210013
RAF1,RAF1,0.7258064516129032,0.7258064516129032,-1,-1,-1,0.3119833296242063,41,0.3794565085221219
PRKCG,PRKCG,0,0,-1,-1,-1,0.2562474081209193,11,0.15275310033369374
PRKCB,PRKCB,0.6774193548387096,0.6774193548387096,-1,-1,-1,0.30826760152398713,39,0.3643429479762267
CDK1,CDK1,0.3548387096774194,0.3548387096774194,-1,-1,-1,0.2834960808558596,28,0.2635858776702586
ARAF,ARAF,0.8225806451612904,0.8225806451612904,-1,-1,-1,0.31941478582464455,46,0.4096836296139124
PIM1,PIM1,0.8870967741935484,0.8870967741935484,-1,-1,-1,0.3243690899582701,48,0.42983504367510605
CDK4,CDK4,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
SRC,SRC,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
BRAF,BRAF,0.8225806451612904,0.8225806451612904,-1,-1,-1,0.31941478582464455,46,0.4096836296139124
PRKCA,PRKCA,0.3387096774193548,0.3387096774193548,-1,-1,-1,0.2822575048224532,27,0.2585480241549602
PRKACA,PRKACA,0.27419354838709675,0.27419354838709675,-1,-1,-1,0.2773032006888277,25,0.23839661009376653
PRKACG,PRKACG,0.4516129032258064,0.4516129032258064,-1,-1,-1,0.29092753705629787,31,0.2938129987620491
PRKACB,PRKACB,0.7258064516129032,0.7258064516129032,-1,-1,-1,0.3119833296242063,41,0.3794565085221219
RPS6KB1,RPS6KB1,0.24193548387096775,0.24193548387096775,-1,-1,-1,0.27482604862201493,23,0.2283209030631697
