Kinase,Score,dataset,rank,quartile
PKCI,3.116587232660401,R1C1P1,1,1
DYRK,-2.25218965362873,R1C1P1,2,1
PKA,2.243351477679782,R1C1P1,3,1
CHK1,-1.916728734193132,R1C1P1,4,1
PKCD,1.8707403283488933,R1C1P1,5,1
STKR,-1.8171687838719053,R1C1P1,6,1
AKT,1.7931314148822155,R1C1P1,7,1
GRK,-1.7924735925511512,R1C1P1,8,1
NMO,-1.6789153818297406,R1C1P1,9,1
PLK,-1.6366970791062478,R1C1P1,10,1
ERK,-1.5820509026480445,R1C1P1,11,1
JNK,-1.5590361982698893,R1C1P1,12,1
TAO,1.4657869886388648,R1C1P1,13,1
BUD32,1.4640975927192452,R1C1P1,14,1
MOS,1.4573734936521934,R1C1P1,15,1
STE7,-1.4335479222784864,R1C1P1,16,1
NDR,1.3789640206118845,R1C1P1,17,1
BARK2,1.3175605165031288,R1C1P1,18,1
PKCH,1.1880708015609232,R1C1P1,19,1
PKCA,1.1786727497861842,R1C1P1,20,1
PKG,1.1579260265348688,R1C1P1,21,2
PAKA,1.1292156551110346,R1C1P1,22,2
IKK,-1.1259065041320062,R1C1P1,23,2
DMPK,1.099749886047886,R1C1P1,24,2
PEK,1.0674941485146432,R1C1P1,25,2
RSK,1.0573291011042352,R1C1P1,26,2
PIM,1.0548713401231913,R1C1P1,27,2
LKB,-1.0061578780094529,R1C1P1,28,2
TLK,-0.9731385506846384,R1C1P1,29,2
HAL,-0.9630973757984822,R1C1P1,30,2
"NAK",-0.9517493162446602,R1C1P1,31,2
SGK,0.9334610670012072,R1C1P1,32,2
CDK,-0.901728218682962,R1C1P1,33,2
MST,-0.8628409080632967,R1C1P1,34,2
MSN,0.8239472738934814,R1C1P1,35,2
CAMK1,-0.7683527868786026,R1C1P1,36,2
MLK,0.7587789101253873,R1C1P1,37,2
CAMK2,-0.7479602335927141,R1C1P1,38,2
RIPK,-0.7409529197523612,R1C1P1,39,2
RAF,0.7291377880456628,R1C1P1,40,2
CAMKK,-0.6929247488897927,R1C1P1,41,3
ATR,-0.6907443633115513,R1C1P1,42,3
BRSK,-0.6881877882053197,R1C1P1,43,3
RAD53,0.6876680765181878,R1C1P1,44,3
ULK,-0.6850350071770387,R1C1P1,45,3
WNK,-0.6842474456024733,R1C1P1,46,3
PASK,-0.6834601341353503,R1C1P1,47,3
NIK,-0.6818862547880434,R1C1P1,48,3
CLK,-0.6803133556585116,R1C1P1,49,3
KHS,-0.6803133556585116,R1C1P1,50,3
PHK,0.6772081655527287,R1C1P1,51,3
SLK,-0.6748157331105776,R1C1P1,52,3
MAPKAPK,0.6137567570392871,R1C1P1,53,3
