Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,14.33595573101725,40,PTM-SEA,0.4027777777777778,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,54,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,54.52394697886782,14,PTM-SEA,0.8055555555555556,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,78.76364783272135,2,PTM-SEA,0.9861111111111112,4,OTHER,AUR,AUR,AURKA
DAPK3,0,54,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,22.02965396386731,31,PTM-SEA,0.5277777777777778,3,AGC,RSK,MSK,RPS6KA5
CHEK2,-18.366948805885748,36,PTM-SEA,0.4583333333333333,2,CAMK,RAD53,RAD53,CHEK2
RAF1,8.481729503521088,44,PTM-SEA,0.3472222222222222,2,TKL,RAF,RAF,RAF1
PRKCG,0,54,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-56.71771205984244,13,PTM-SEA,0.8194444444444444,4,AGC,PKC,ALPHA,PRKCB
CDK1,-15.170954752114866,38,PTM-SEA,0.4305555555555556,2,CMGC,CDK,CDC2,CDK1
ARAF,29.428283758655247,23,PTM-SEA,0.6666666666666666,3,TKL,RAF,RAF,ARAF
PIM1,70.91552359470634,6,PTM-SEA,0.9305555555555556,4,CAMK,PIM,PIM,PIM1
CDK4,5.402354216935374,46,PTM-SEA,0.3194444444444444,2,CMGC,CDK,CDK4,CDK4
BRAF,29.428283758655247,23,PTM-SEA,0.6666666666666666,3,TKL,RAF,RAF,BRAF
PRKCA,21.478596639100893,32,PTM-SEA,0.5138888888888888,3,AGC,PKC,ALPHA,PRKCA
PRKACA,-2.7572375829386866,50,PTM-SEA,0.2638888888888889,2,AGC,PKA,PKA,PRKACA
PRKACG,-4.098743701309649,48,PTM-SEA,0.2916666666666667,2,AGC,PKA,PKA,PRKACG
PRKACB,28.327390621380523,25,PTM-SEA,0.6111111111111112,3,AGC,PKA,PKA,PRKACB
RPS6KB1,27.63663667273909,27,PTM-SEA,0.5833333333333334,3,AGC,RSK,P70,RPS6KB1
CDK2,-31.193770963527065,20,PTM-SEA,0.7222222222222222,3,CMGC,CDK,CDC2,CDK2
MAPK3,-18.490243811207304,34,PTM-SEA,0.4861111111111111,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,-29.694162680863045,22,PTM-SEA,0.6944444444444444,3,CMGC,MAPK,ERK1,MAPK1
AKT1,14.961145638115903,39,PTM-SEA,0.4166666666666667,2,AGC,AKT,AKT,AKT1
AKT2,41.332021270365445,16,PTM-SEA,0.7777777777777778,4,AGC,AKT,AKT,AKT2
MAP3K8,-71.52741649876997,5,PTM-SEA,0.9444444444444444,4,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,28.327390621380523,25,PTM-SEA,0.6111111111111112,3,AGC,PKC,IOTA,PRKCI
MAPK8,13.360625203796209,41,PTM-SEA,0.3888888888888889,2,CMGC,MAPK,JNK,MAPK8
MAPK9,0,54,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
CSNK1A1,0,54,PTM-SEA,0,1,CK1,CK1,CK1-A,CSNK1A1
CSNK1D,0,54,PTM-SEA,0,1,CK1,CK1,CK1-D,CSNK1D
MAPKAPK2,-62.74633981658282,9,PTM-SEA,0.8888888888888888,4,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,-41.75992824349528,15,PTM-SEA,0.7916666666666666,4,CMGC,GSK,GSK,GSK3B
CDK7,-63.62376237623764,7,PTM-SEA,0.9166666666666666,4,CMGC,CDK,CDK7,CDK7
CDK9,58.57425742574258,12,PTM-SEA,0.8333333333333334,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,-18.456442953640167,35,PTM-SEA,0.4722222222222222,2,AGC,RSK,RSK,RPS6KA3
NEK2,0,54,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,75.020250939,3,PTM-SEA,0.9722222222222222,4,CAMK,DAPK,DAPK,DAPK1
PRKAA2,89.0450955663658,1,PTM-SEA,1,4,CAMK,CAMKL,AMPK,PRKAA2
CSNK2A1,74.55943190973464,4,PTM-SEA,0.9583333333333334,4,CMGC,CK2,CK2,CSNK2A1
PRKDC,2.254013638475527,51,PTM-SEA,0.25,2,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,-28.81014751370209,24,PTM-SEA,0.6527777777777778,3,ATYPICAL,PIKK,ATM,ATM
AURKB,61.098599253152976,10,PTM-SEA,0.875,4,OTHER,AUR,AUR,AURKB
CDK3,0,54,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,58.57425742574258,12,PTM-SEA,0.8333333333333334,4,CMGC,CDK,CDK4,CDK6
CDK5,25.66456945110039,29,PTM-SEA,0.5555555555555556,3,CMGC,CDK,CDK5,CDK5
PRKCE,9.775350730277502,43,PTM-SEA,0.3611111111111111,2,AGC,PKC,ETA,PRKCE
PRKCQ,31.33930120516777,19,PTM-SEA,0.7361111111111112,3,AGC,PKC,DELTA,PRKCQ
PRKCZ,6.461589103192265,45,PTM-SEA,0.3333333333333333,2,AGC,PKC,IOTA,PRKCZ
PRKCD,-0.9426774360753396,53,PTM-SEA,0.2222222222222222,1,AGC,PKC,DELTA,PRKCD
PRKAA1,39.05814580801217,17,PTM-SEA,0.7638888888888888,4,CAMK,CAMKL,AMPK,PRKAA1
PAK1,26.383058395198894,28,PTM-SEA,0.5694444444444444,3,STE,STE20,PAKA,PAK1
PAK2,-2.019801980198018,52,PTM-SEA,0.2361111111111111,1,STE,STE20,PAKA,PAK2
PRKG2,-62.878394448132276,8,PTM-SEA,0.9027777777777778,4,AGC,PKG,PKG,PRKG2
ROCK1,0,54,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,-15.420242123972471,37,PTM-SEA,0.4444444444444444,2,ATYPICAL,PIKK,ATR,ATR
CAMK2G,0,54,PTM-SEA,0,1,CAMK,CAMK2,CAMK2,CAMK2G
DYRK1A,-28.223369377467698,26,PTM-SEA,0.5972222222222222,3,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,-3.0931260580295254,49,PTM-SEA,0.2777777777777778,2,AGC,PKG,PKG,PRKG1
PRKD1,19.528477964580254,33,PTM-SEA,0.5,3,CAMK,PKD,PKD,PRKD1
RPS6KA2,22.745931203832214,30,PTM-SEA,0.5416666666666666,3,AGC,RSK,RSK,RPS6KA2
RPS6KA1,10.812867760507336,42,PTM-SEA,0.375,2,AGC,RSK,RSK,RPS6KA1
PKN1,-32.81815316493618,18,PTM-SEA,0.75,4,AGC,PKN,PKN,PKN1
MAPK14,-29.89646677505079,21,PTM-SEA,0.7083333333333334,3,CMGC,MAPK,P38,MAPK14
PIM3,28.327390621380523,25,PTM-SEA,0.6111111111111112,3,CAMK,PIM,PIM,PIM3
BRSK2,0,54,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,54,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PASK,0,54,PTM-SEA,0,1,CAMK,CAMKL,PASK,PASK
VRK1,0,54,PTM-SEA,0,1,CK1,VRK,VRK,VRK1
PLK3,0,54,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,54,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,58.96610105368944,11,PTM-SEA,0.8611111111111112,4,CAMK,PIM,PIM,PIM2
AKT3,4.654483312161779,47,PTM-SEA,0.3055555555555556,2,AGC,AKT,AKT,AKT3
AAK1,306,277,KEA3,0.07714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,62,44,KEA3,0.8628571428571429,4,TK,ABL,ABL,ABL1
ABL2,147,146,KEA3,0.5057142857142857,3,TK,ABL,ABL,ABL2
ACVR1,71.5,58,KEA3,0.8171428571428572,4,TKL,STKR,TYPE1,ACVR1
ACVR1B,200,197,KEA3,0.3314285714285714,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,214,211,KEA3,0.28285714285714286,2,TKL,STKR,TYPE2,ACVR2B
AKT1,26.666666666666664,10,KEA3,0.9742857142857143,4,AGC,AKT,AKT,AKT1
AKT2,54.333333333333336,36,KEA3,0.8914285714285715,4,AGC,AKT,AKT,AKT2
AKT3,45,25,KEA3,0.9257142857142857,4,AGC,AKT,AKT,AKT3
ALK,77.5,65,KEA3,0.7885714285714286,4,TK,ALK,ALK,ALK
ARAF,76,62,KEA3,0.8028571428571428,4,TKL,RAF,RAF,ARAF
ATM,110,103,KEA3,0.6542857142857142,3,ATYPICAL,PIKK,ATM,ATM
ATR,62.333333333333336,45,KEA3,0.86,4,ATYPICAL,PIKK,ATR,ATR
AURKA,29,12,KEA3,0.9685714285714285,4,OTHER,AUR,AUR,AURKA
AURKB,44.666666666666664,24,KEA3,0.9314285714285714,4,OTHER,AUR,AUR,AURKB
AURKC,186,184,KEA3,0.3742857142857143,2,OTHER,AUR,AUR,AURKC
AXL,208.5,206,KEA3,0.3,2,TK,AXL,AXL,AXL
BLK,260.5,248,KEA3,0.16,1,TK,SRC,SRCB,BLK
BMP2K,328,295,KEA3,0.025714285714285714,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,177.5,177,KEA3,0.4,2,TKL,STKR,TYPE1,BMPR1A
BMPR1B,120,110,KEA3,0.6342857142857142,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,203.5,202,KEA3,0.3142857142857143,2,TKL,STKR,TYPE2,BMPR2
BMX,137.66666666666666,136,KEA3,0.5371428571428571,3,TK,TEC,TEC,BMX
BRAF,110.5,104,KEA3,0.6514285714285715,3,TKL,RAF,RAF,BRAF
BRSK1,140.66666666666666,141,KEA3,0.5228571428571429,3,CAMK,CAMKL,BRSK,BRSK1
BRSK2,230,226,KEA3,0.22857142857142856,1,CAMK,CAMKL,BRSK,BRSK2
BTK,78,67,KEA3,0.7828571428571428,4,TK,TEC,TEC,BTK
BUB1,184,183,KEA3,0.37714285714285717,2,OTHER,BUB,BUB,BUB1
CAMK1,138.66666666666666,139,KEA3,0.5285714285714286,3,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,250.5,240,KEA3,0.18285714285714286,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,64.33333333333333,48,KEA3,0.8514285714285714,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,108.5,101,KEA3,0.6628571428571428,3,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,93.33333333333333,85,KEA3,0.7171428571428572,3,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,2,1,KEA3,1,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,99.66666666666667,95,KEA3,0.6828571428571428,3,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,149.66666666666666,150,KEA3,0.49142857142857144,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,103.5,97,KEA3,0.6771428571428572,3,OTHER,CAMKK,META,CAMKK2
CDC42BPA,293,268,KEA3,0.10285714285714286,1,AGC,DMPK,GEK,CDC42BPA
CDC7,180.5,179,KEA3,0.3914285714285714,2,OTHER,CDC7,CDC7,CDC7
CDK1,61.5,43,KEA3,0.8657142857142858,4,CMGC,CDK,CDC2,CDK1
CDK11A,334,299,KEA3,0.014285714285714285,1,CMGC,CDK,CDK11,CDK11A
CDK11A,334,299,KEA3,0.014285714285714285,1,NA,NA,NA,CDK11A
CDK12,319,289,KEA3,0.04285714285714286,1,CMGC,CDK,CRK7,CDK12
CDK15,279,257,KEA3,0.13428571428571429,1,CMGC,CDK,PFTAIRE,CDK15
CDK16,269,252,KEA3,0.14857142857142858,1,CMGC,CDK,PCTAIRE,CDK16
CDK18,264,251,KEA3,0.15142857142857144,1,CMGC,CDK,PCTAIRE,CDK18
CDK19,249,239,KEA3,0.18571428571428572,1,CMGC,CDK,CDK8,CDK19
CDK2,34,17,KEA3,0.9514285714285714,4,CMGC,CDK,CDC2,CDK2
CDK20,166,168,KEA3,0.42857142857142855,2,CMGC,CDK,CCRK,CDK20
CDK3,87.66666666666667,79,KEA3,0.74,3,CMGC,CDK,CDC2,CDK3
CDK4,59.666666666666664,41,KEA3,0.8714285714285714,4,CMGC,CDK,CDK4,CDK4
CDK5,56.333333333333336,39,KEA3,0.8828571428571429,4,CMGC,CDK,CDK5,CDK5
CDK6,71.66666666666667,59,KEA3,0.8114285714285714,4,CMGC,CDK,CDK4,CDK6
CDK7,55.66666666666667,38,KEA3,0.8857142857142857,4,CMGC,CDK,CDK7,CDK7
CDK8,153,154,KEA3,0.4742857142857143,2,CMGC,CDK,CDK8,CDK8
CDK9,37.333333333333336,21,KEA3,0.94,4,CMGC,CDK,CDK9,CDK9
CDKL3,309,280,KEA3,0.06857142857142857,1,CMGC,CDKL,CDKL,CDKL3
CDKL5,82,72,KEA3,0.7628571428571429,4,CMGC,CDKL,CDKL,CDKL5
CHEK1,29.666666666666664,14,KEA3,0.9628571428571429,4,CAMK,CAMKL,CHK1,CHEK1
CHEK2,65.33333333333333,50,KEA3,0.8457142857142858,4,CAMK,RAD53,RAD53,CHEK2
CHUK,81.33333333333333,71,KEA3,0.7657142857142857,4,OTHER,IKK,IKK,CHUK
CLK1,122.5,116,KEA3,0.6142857142857143,3,CMGC,CLK,CLK,CLK1
CLK2,113,106,KEA3,0.6457142857142857,3,CMGC,CLK,CLK,CLK2
CLK3,213,210,KEA3,0.2857142857142857,2,CMGC,CLK,CLK,CLK3
