HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.4871794871794872,0.7028571428571428,0.7350427350427351,0.18808777429467088,0.55222040897034,88,0.5507247728702646
PIK3C2A,0,-1,-1,-1,0.2562474081209193,10,0.12557595581015704
CHEK1,0.6410256410256411,0.9714285714285714,-1,0.5141065830721003,0.5931477240039295,93,0.6095145932999647
AURKA,0.7564102564102564,0.9428571428571428,-1,0.664576802507837,0.6299951997522878,96,0.6624439506437301
RPS6KA5,0.2307692307692308,0.8114285714285714,-1,0.927899686520376,0.5880336104269122,93,0.6021684524988107
LATS1,0,0.6571428571428571,-1,0.7021943573667712,0.465473617111467,79,0.42611781265188164
CHEK2,0.2435897435897436,0.7228571428571429,-1,0.06269592476489028,0.3737088310760031,52,0.2943027818254719
RAF1,0.8717948717948718,0.7657142857142857,0.6410256410256411,0.4890282131661442,0.6773015966562174,99,0.7303969687411946
PRKCG,0,0.7828571428571428,-1,0.11285266457680251,0.3759244078059072,54,0.29748533504188457
PRKCB,0.5384615384615384,0.8942857142857142,-1,0.11285266457680251,0.47049281482104566,79,0.4333276120683621
CDK1,0.8846153846153846,0.8514285714285714,-1,0.5642633228840125,0.5942615281021207,93,0.6111145111756618
ARAF,0.6025641025641025,0.6285714285714286,0.04273504273504273,0.4890282131661442,0.439774263322884,72,0.38920211483124156
PIM1,0.7948717948717948,0.8457142857142858,0.8974358974358975,0.5391849529780565,0.7744127005867696,100,0.8698916890061706
CDK4,0.97435897435897445,0.8028571428571428,0.4017094017094017,0.5642633228840125,0.6618908679366612,98,0.7082603107813463
BRAF,0.6025641025641025,0.6885714285714286,0.02564102564102564,0.4890282131661442,0.45698790434852504,77,0.4139285564267434
PRKCA,0.5769230769230769,0.9857142857142858,-1,0.11285266457680251,0.5030074676493842,82,0.480033109351613
PRKACA,0.2692307692307692,0.9885714285714284,-1,0.9529780564263324,0.6524623806468745,98,0.6947168111836973
