HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.7580645161290323,0.5942857142857143,0.5588235294117647,0.7005473025801408,0.6334717077531813,96,0.6837530796955329
CHEK1,0.6935483870967742,0.9857142857142858,-1,0.5379202501954652,0.608612703819403,94,0.6463118208950114
AURKA,0.5483870967741935,0.88,-1,0.6755277560594214,0.589732248787211,91,0.6178751222640028
DAPK3,0,0.37142857142857144,0.10784313725490197,0.10007818608287725,0.18664691026997196,1,0.010770247172333599
RPS6KA5,0,0.7914285714285715,-1,0.9257232212666144,0.5555958992140337,88,0.5664608378349426
CHEK2,0.6774193548387096,0.8742857142857143,-1,0.800625488663018,0.62963344705399,95,0.6779721034116433
RAF1,0.8548387096774194,0.68,0.00980392156862745,0.07505863956215794,0.37761569598521144,54,0.2983968853044467
PRKCG,0,0.7714285714285715,-1,0.763096168881939,0.5140068561025035,84,0.5038217179992114
PRKCB,0.3064516129032258,0.8257142857142857,-1,0.763096168881939,0.5650100956200389,89,0.5806399805300863
CDK1,0.3225806451612903,0.9571428571428572,-1,0.7881157154026583,0.6128220695698515,95,0.6526517351115437
ARAF,0.9838709677419356,0.66,0.22549019607843135,0.07505863956215794,0.44242671685807666,73,0.3960116655302018
PIM1,0.8064516129032258,0.8657142857142858,0.5196078431372549,0.6630179827990618,0.7178725580527957,100,0.8108729790877224
CDK4,0,0.8828571428571429,0.8725490196078431,0.7881157154026583,0.7410398742583821,100,0.8457663112613515
SRC,0,0.9685714285714284,-1,-1,0.44450792341564427,74,0.3991462639053744
BRAF,0.9838709677419356,0.6285714285714286,0.22549019607843135,0.07505863956215794,0.4311187168580767,69,0.3789801804536415
PRKCA,0.24193548387096775,0.9914285714285714,-1,0.763096168881939,0.6089412204598841,94,0.6468066145154354
PRKACA,0.20967741935483872,0.9771428571428572,-1,0.950742767787334,0.6417927123075109,97,0.6962857171989866
PRKACG,0.8387096774193549,-1,-1,0.950742767787334,0.45187406198033653,75,0.41024073499101565
PRKACB,0.8548387096774194,0.18571428571428572,-1,0.950742767787334,0.4696524418362593,79,0.4370175488574437
RPS6KB1,0.25806451612903225,0.92,-1,0.9257232212666144,0.6241168153194532,95,0.6696632573681658
CDK2,0.3225806451612903,0.96,1,0.7881157154026583,0.8434428382052511,100,1
MAPK3,0.5806451612903226,0.8857142857142857,-1,0.9882720875684128,0.663210196023862,98,0.7285435483178853
MAPK1,0.5806451612903226,0.8057142857142857,-1,0.9882720875684128,0.638521128756662,96,0.6913582387392233
AKT1,0.2903225806451613,0.8714285714285714,-1,0.8631743549648163,0.5991104446918959,93,0.63200004299231
AKT2,0.6451612903225806,0.6371428571428571,-1,0.8631743549648163,0.5664645774415474,89,0.5828306407208494
MAP3K8,0.3709677419354839,0.49142857142857144,-1,0.3502736512900704,0.3791514545981247,55,0.3007099601096316
PRKCI,0.8548387096774194,0.6314285714285715,-1,0.4503518373729476,0.4982311203191815,81,0.48006117603198406
MTOR,0,0.6342857142857142,-1,0.5129007036747459,0.41719539264156463,65,0.358009638482503
MAPK8,0.7903225806451613,0.7542857142857143,-1,0.9632525410476936,0.6406350228217914,96,0.6945420692330048
MAPK9,0,0.8657142857142858,-1,0.9632525410476936,0.5866945638982947,90,0.6132999290509792
CSNK1A1,0,0.94,-1,0.6254886630179828,0.5360622063639471,86,0.5370402684799406
CSNK1D,0,0.8428571428571429,-1,0.6254886630179828,0.5060826246823472,83,0.4918866782772799
MAPKAPK2,0.4516129032258064,0.6742857142857143,0.6372549019607843,0.8506645817044566,0.6805104279968488,99,0.7546002022504069
GSK3B,0.2258064516129032,0.9285714285714286,-1,0.8256450351837373,0.6013618760186801,93,0.6353910245136246
RPS6KA3,0.6290322580645161,0.8542857142857143,-1,0.9257232212666144,0.6452969684355434,97,0.7015636342443554
DAPK1,0.6612903225806451,0.5885714285714285,0.12745098039215683,0.10007818608287725,0.35595868636105354,47,0.2657782934918567
PRKAA2,0.4032258064516129,0.7485714285714286,-1,0.7756059421422987,0.5547429199115581,88,0.5651761275182882
CSNK2A1,0.532258064516129,0.7228571428571429,-1,0.1376075058639562,0.42228543951703373,67,0.36567598597087797
PRKDC,0.967741935483871,0.7257142857142858,-1,0.06254886630179828,0.4554919603463573,77,0.41568981369895647
ATM,0.6129032258064516,0.6771428571428572,-1,0.02501954652071931,0.39267123753724487,59,0.3210727104957263
AURKB,0.46774193548387094,0.9171428571428571,-1,0.6755277560594214,0.5921818868942175,92,0.6215646318910326
CDK5,0.935483870967742,0.9085714285714286,0.09803921568627452,0.7881157154026583,0.6739883638219494,99,0.744777029393742
