HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.9516129032258064,0.8371428571428572,0.5784313725490197,0.7762128325508607,0.7703001877102802,100,0.9181491147597349
CHEK1,0.9193548387096774,0.8428571428571429,-1,0.2378716744913928,0.5244175697870771,83,0.540031554796421
AURKA,0.6451612903225806,0.9285714285714286,-1,0.8012519561815337,0.6429179169945656,97,0.7222610369751722
DAPK3,0,0.86,0.9901960784313726,0.01251956181533646,0.5659978932155022,90,0.6039736527374477
RPS6KA5,0,0.7942857142857143,-1,0.6134585289514867,0.488472921835635,80,0.484755981874936
CHEK2,0.935483870967742,0.7342857142857143,-1,0.25039123630672927,0.4954401062708881,80,0.4954700974180489
RAF1,0.5645161290322581,0.7257142857142858,0.7058823529411765,0.03755868544600939,0.5248398959652921,84,0.5406810067396453
PRKCG,0,0.5114285714285715,-1,0.7136150234741784,0.4229914271994122,67,0.38405873379889416
PRKCB,0.8387096774193549,0.6428571428571429,-1,0.7136150234741784,0.5572887262014251,89,0.5905807215555277
CDK1,0.20967741935483872,0.7971428571428572,-1,0.9389671361502347,0.583677824265414,92,0.6311617982248211
ARAF,0.6935483870967742,0.8028571428571428,0.6764705882352942,0.03755868544600939,0.5618823286028632,90,0.5976447496927907
PIM1,0.8064516129032258,0.9971428571428572,0.0588235294117647,0.27543035993740217,0.5488373547258674,87,0.5775842275875013
CDK4,0,0.7857142857142857,0.9215686274509804,0.9389671361502347,0.7569331676332505,99,0.8975933509639967
SRC,0,0.6571428571428571,-1,-1,0.3619612508800956,46,0.29020670981727886
BRAF,0.6935483870967742,0.46285714285714286,0.6764705882352942,0.03755868544600939,0.43955032860286325,70,0.4095229632236093
PRKCA,0.41935483870967744,0.9485714285714286,-1,0.7136150234741784,0.6047678890124186,94,0.6635940371889287
PRKACA,0.4516129032258064,0.8142857142857143,-1,0.9139280125195618,0.6105547697520504,94,0.6724930852125335
PRKACG,0.3709677419354839,-1,-1,0.9139280125195618,0.4036390898910855,61,0.3542987669317081
PRKACB,0.5645161290322581,0.20857142857142855,-1,0.9139280125195618,0.4362416608171213,69,0.40443490372415847
RPS6KB1,0.24193548387096775,0.8914285714285715,-1,0.6134585289514867,0.5454919328898157,87,0.5724396478185851
CDK2,0.20967741935483872,0.86,0.9705882352941176,0.9389671361502347,0.8235262530222448,100,1
MAPK3,0.7580645161290323,0.8314285714285714,-1,0.9890453834115804,0.6664542229394186,97,0.7584550983918985
MAPK1,0.7580645161290323,0.8685714285714285,-1,0.9890453834115804,0.6779170041706186,98,0.7760825293430704
AKT1,0.27419354838709675,0.8942857142857142,-1,0.863849765258216,0.604508925545336,94,0.6631958039379573
AKT2,0.6774193548387096,0.7285714285714285,-1,0.863849765258216,0.5984330018271037,93,0.653852266479857
MAP3K8,0.43548387096774194,0.4257142857142857,-1,0.4006259780907668,0.3770473492437537,50,0.31340606709927504
PRKCI,0.5645161290322581,0.7171428571428572,-1,0.838810641627543,0.5768345935432885,92,0.620638298333811
MTOR,0,0.66,-1,0.11267605633802816,0.3379705929159493,35,0.2533139472139837
MAPK8,0.8548387096774194,0.94,-1,0.976525821596244,0.7080500868294788,98,0.8224210944086974
MAPK9,0,0.9742857142857144,-1,0.976525821596244,0.6230917985418272,96,0.6917724908704838
CSNK1A1,0,0.88,-1,0.7261345852895149,0.5394639862591843,86,0.5631698893833821
CSNK1D,0,0.9314285714285714,-1,0.7261345852895149,0.5553355295023843,89,0.58757710146961994
MAPKAPK2,0.532258064516129,0.9142857142857144,0.13725490196078433,0.7386541471048513,0.6209810431681382,95,0.6885265775223999
GSK3B,0.3225806451612903,0.9,-1,0.8137715179968701,0.6007743196239635,94,0.6574527380378905
RPS6KA3,0.7419354838709677,0.9771428571428572,-1,0.6134585289514867,0.6278259923318157,96,0.6990527200277276
DAPK1,0.9032258064516128,0.9885714285714284,0.6372549019607843,0.01251956181533646,0.6396305687373237,96,0.717205762583364
PRKAA2,0.4032258064516129,0.9571428571428572,-1,0.5758998435054773,0.5756190269428864,92,0.6187690036240057
CSNK2A1,0.8225806451612904,0.7085714285714285,-1,0.26291079812206575,0.4776124334255892,78,0.4680547550362866
PRKDC,1,0.9514285714285714,-1,0.22535211267605632,0.5642108050522986,90,0.6012254738648731
ATM,0.8870967741935484,0.8257142857142857,-1,0.07511737089201878,0.48007730917076186,78,0.47184523364046577
AURKB,0.25806451612903225,0.7742857142857142,-1,0.8012519561815337,0.5520402002688366,88,0.5825095539561392
CDK5,0.967741935483871,0.8571428571428571,0.4705882352941176,0.9389671361502347,0.7933240594738578,100,0.9535551564136076
PRKCE,0.5483870967741935,0.7428571428571429,-1,0.03755868544600939,0.4084717909290325,63,0.36173048024245313
PRKCQ,0.7258064516129032,0.6714285714285714,-1,0.7887323943661971,0.569846844752587,91,0.6098925589859329
PRKCZ,0.3548387096774194,0.82,-1,0.838810641627543,0.5851435079067853,93,0.6334157221777804
PRKCD,0.3870967741935484,0.6542857142857142,-1,0.7887323943661971,0.5267011292165741,84,0.5435432057085741
PRKAA1,0.3064516129032258,1,-1,0.5758998435054773,0.5780295412298541,92,0.6224758853391239
PAK1,0.5,0.7714285714285715,0.3235294117647059,0.651017214397496,0.5907944472061126,93,0.6421057198580142
PAK2,0.6612903225806451,0.4342857142857143,-1,0.651017214397496,0.4594593902021385,74,0.4401390590528333
PRKG2,0.5161290322580645,0.23142857142857143,-1,0.701095461658842,0.39153730860887875,56,0.3356886835989086
ATR,0.9838709677419356,0.9885714285714284,0.14705882352941177,0.2128325508607199,0.5755569247014874,91,0.6186735029815269
CAMK2G,0,0.88,-1,0.5508607198748043,0.5012929981567744,81,0.5044706571864163
DYRK1A,0.8709677419354839,0.9828571428571428,-1,0.9640062597809076,0.7203525023401454,98,0.841339712462459
PRKG1,0.4838709677419355,0.8257142857142857,-1,0.701095461658842,0.5713365510584013,91,0.6121834249209638
PRKD1,0.2903225806451613,0.8,-1,0.7511737089201878,0.5526752325394254,88,0.5834861046968183
RPS6KA2,0.46774193548387094,0.8885714285714286,-1,0.6134585289514867,0.5698469812351575,91,0.6098927688684248
RPS6KA1,0.3387096774193548,0.9314285714285714,-1,0.6134585289514867,0.5686522382724479,90,0.60805549668685
MAPK14,0,0.8942857142857142,0.6274509803921569,0.9264475743348984,0.7175537450059837,98,0.8370357917418281
PIM3,0.5645161290322581,-1,0.6764705882352942,0.27543035993740217,0.3971976348243372,58,0.3443931164509046
PASK,0,0.10857142857142855,-1,0.13771517996870108,0.17324537755309358,1,0
VRK1,0,0.9085714285714286,-1,0.4131455399061033,0.48011903152888075,79,0.4719093941589321
PIM2,0.7903225806451613,0.5314285714285715,0.6176470588235294,0.27543035993740217,0.5221746829991121,83,0.5365824501516828
AKT3,0.6290322580645161,0.30857142857142855,-1,0.863849765258216,0.46340751279978765,75,0.44621047026387467
AAK1,-1,0.1,-1,0.5383411580594679,0.2909989939698011,19,0.18108116178528713
ABL1,-1,0.7657142857142857,-1,-1,0.40694631814585586,62,0.35938461272470384
ABL2,-1,0.4171428571428571,-1,-1,0.3212486661502674,31,0.22759901787115527
ACVR1,-1,0.7685714285714286,-1,0.6885758998435054,0.5127273452341539,81,0.5220543621802469
ACVR1B,-1,0.42857142857142855,-1,0.6885758998435054,0.415401175573366,65,0.37238646737929487
ACVR2B,-1,0.27714285714285714,-1,0.6885758998435054,0.3720542260605781,49,0.3057276570897952
ALK,-1,0.8228571428571428,-1,-1,0.42099511355496877,66,0.3809888086023348
AURKC,-1,0.3342857142857143,-1,0.8012519561815337,0.41117217537226697,64,0.3658831234234266
AXL,-1,0.30857142857142855,-1,-1,0.29455595487295305,20,0.18655104570365663
BLK,-1,0.19142857142857145,-1,-1,0.2657559242842717,12,0.14226244415451325
BMP2K,-1,0.03428571428571429,-1,0.5383411580594679,0.2721880536151951,13,0.15215375354644775
BMPR1A,-1,0.5057142857142857,-1,0.6885758998435054,0.4374835838157296,69,0.406344729224889
BMPR1B,-1,0.6314285714285715,-1,0.6885758998435054,0.47346973058106295,77,0.46168411889919053
BMPR2,-1,0.26,-1,0.6885758998435054,0.3671470242289418,48,0.2981813766796633
BMX,-1,0.4971428571428571,-1,-1,0.3409169797230255,37,0.25784489209983863
BRSK1,-1,0.24857142857142855,-1,0.350547730829421,0.2955937267224813,20,0.18814692817333487
BRSK2,-1,0.08285714285714285,-1,0.350547730829421,0.2481574423499965,8,0.11519955087539199
BTK,-1,0.8428571428571429,-1,-1,0.4259121919481582,67,0.3885502771595056
BUB1,-1,0.5257142857142857,-1,-1,0.3479413774275819,40,0.2686469900386541
CAMK1,-1,0.4142857142857143,-1,0.02503912363067292,0.2772771381288078,14,0.15997973260502166
CAMK1D,-1,0.2228571428571429,-1,0.02503912363067292,0.22248005100886845,3,0.075712934691880715
CAMK2A,-1,0.68,-1,0.5508607198748043,0.45955494592604257,74,0.44028600436140497
CAMK2B,-1,0.29714285714285715,-1,0.5508607198748043,0.3499607716861638,42,0.271752408535123
CAMK2D,-1,0.7228571428571429,-1,0.5508607198748043,0.47182295050513345,77,0.4591517053867351
CAMK4,-1,0.5828571428571429,0.5294117647058824,0.02503912363067292,0.3865051190790761,53,0.3279501974775504
CAMKK1,-1,0.6371428571428571,0.5294117647058824,0.3380281690140845,0.47833221639792683,78,0.4691616351545407
CAMKK2,-1,0.5371428571428571,-1,0.3380281690140845,0.37566933423581544,50,0.3112869597105731
CDC42BPA,-1,0.14,-1,0.4757433489827856,0.2898043483142299,19,0.1792440392423409
CDC7,-1,0.3171428571428571,-1,-1,0.2966632741843199,20,0.18979167508530118
CDK11A,-1,0.02,-1,0.9389671361502347,0.34902533163692373,42,0.27031389160416575
CDK12,-1,0.05714285714285714,-1,0.9389671361502347,0.3596576022721359,45,0.28666416582611853
CDK15,-1,0.18857142857142856,-1,0.9389671361502347,0.39727948298134796,58,0.3445189823037974
CDK16,-1,0.22,-1,0.9389671361502347,0.4062760196726813,62,0.35835382972237273
CDK18,-1,0.3057142857142857,-1,0.9389671361502347,0.43081202883086306,68,0.3960852317730328
CDK19,-1,0.4085714285714286,-1,0.9389671361502347,0.4602552398206813,74,0.4413629142338251
CDK20,-1,0.4371428571428572,-1,0.9389671361502347,0.46843390954007524,76,0.4539400482507119
CDK3,-1,0.38857142857142857,0.30392156862745096,0.9389671361502347,0.48337757468295217,79,0.4769203721485901
CDK6,-1,0.9171428571428571,0.7647058823529411,0.9389671361502347,0.7691499564589522,99,0.916380292555794
CDK7,-1,0.9685714285714284,0.6568627450980392,0.9389671361502347,0.7607157152077522,99,0.9034101413959355
CDK8,-1,0.37142857142857144,-1,0.9389671361502347,0.44962296918546923,72,0.42501264001187244
CDK9,-1,0.96,0.8431372549019608,0.9389671361502347,0.8020691522029522,100,0.9670033340534393
CDKL3,-1,0.09142857142857144,-1,-1,0.24117053231832422,7,0.1044551013686592
CDKL5,-1,0.86,0.7254901960784313,-1,0.5474362431762541,87,0.5754296024055713
CHUK,-1,0.7885714285714286,-1,0.08763693270735524,0.3970624947155911,57,0.3441852983928253
CLK1,-1,0.45714285714285713,-1,0.350547730829421,0.355298015674057,43,0.27996000649660785
CLK2,-1,0.6457142857142857,-1,0.350547730829421,0.40927723582205705,63,0.3629690910080603
CLK3,-1,0.49142857142857144,-1,0.350547730829421,0.36511241933732974,47,0.2950525673168719
