Kinase,Total_Rank
Akt1/PKB[alpha],1.5
Akt2/PKB[beta],1.5
Pim1,1.6
PKG1,1.6
Pim3,1.7
CaMK4,1.8
p70S6K[beta],1.8
Pim2,1.8
PKG2,1.8
RSK3,1.8
AurA/Aur2,1.9
AMPK[alpha]1,2
CHK2,2.1
CK1[epsilon],2.1
PCTAIRE2,2.1
PKC[delta],2.1
ROCK2,2.1
CDK10,2.2
HGK/ZC1,2.2
PKC[alpha],2.2
PKC[beta],2.2
PKC[eta],2.2
PKC[theta],2.2
PKC[zeta],2.2
RSK1/p90RSK,2.2
DAPK3,2.3
JNK1,2.3
JNK2,2.3
JNK3,2.3
MAPKAPK2,2.3
MAPKAPK3,2.3
NuaK1,2.3
p38[delta],2.3
PKA[alpha],2.3
ADCK3,2.4
CDK4,2.4
PKC[epsilon],2.4
PKC[iota],2.4
PKD1,2.4
PRKX,2.4
TBK1,2.4
CDK6,2.5
IKK[beta],2.5
mTOR/FRAP,2.5
PKC[gamma],2.5
RAF1,2.5
CDK11,2.6
CDKL2,2.6
IKK[epsilon],2.6
PAK1,2.6
PFTAIRE2,2.6
PRKY,2.6
AurB/Aur1,2.7
CDK2,2.7
CDK3,2.7
ANP[alpha],2.8
ARAF,2.8
BRAF,2.8
CDK9,2.8
ERK2,2.8
MAPK14,2.8
MSK1,2.8
p38[beta],2.8
ROCK1,2.8
RSK2,2.8
ATR,2.9
CDK7,2.9
ERK1,2.9
SGK2,2.9
CDKL1,3
ERK5,3
p38[gamma],3
p70S6K,3.1
PKN1/PRK1,3.1
CDK5,3.3
CDKL5,3.3
CHK1,3.3
CK1[alpha],3.3
COT,3.4
CDC2/CDK1,3.5
RSKL2,12
RSKL1,12.6
SgK307,12.7
TNIK/ZC2,12.8
CK2[alpha]1,21.4
DAPK1,21.8
DAPK2,21.9
SGK1,21.9
DYRK1A,22
GSK3[beta],22.1
ERK7,22.2
GSK3[alpha],22.5
CaMK2[alpha],31.8
AlphaK1,31.9
CK1[delta],41.4
DCAMKL1,51.5
ICK,61
PDHK1,61
PFTAIRE1,70.4
PDK1,70.5
CDKL3,71
MSK2,80.6
