Kinase,Z,method,AvgZ
P38,-3.58,710230322>0.15,-3.4025
CK1,-3.56,710230322>0.15,-2.9425
STKR,-3.23,710230322>0.15,-2.75
PLK,-3.08,710230322>0.15,-2.58
JNK,-3.08,710230322>0.15,-2.44
STE7,-3.02,710230322>0.15,-2.695
NMO,-2.99,710230322>0.15,-2.3925
PKA,2.57,710230322>0.15,2.5325
GRK,-2.57,710230322>0.15,-1.8175
CDK,-2.49,710230322>0.15,-1.85
ERK,-2.46,710230322>0.15,-2.7075
CK2,-2.03,710230322>0.15,-1.4375
PKCD,1.97,710230322>0.15,2.4375
RSK,1.92,710230322>0.15,1.395
COT,1.9,710230322>0.15,0.25749999999999995
PKCH,1.87,710230322>0.15,0.685
IKK,-1.87,710230322>0.15,-1.3975
DYRK,-1.79,710230322>0.15,-1.495
NAK,-1.76,710230322>0.15,-1.46
MAPKAPK,1.73,710230322>0.15,1.92
NEK,-1.7,710230322>0.15,-1.6575
TLK,-1.69,710230322>0.15,-1.4275
MSN,1.63,710230322>0.15,0.7775
PKG,1.6,710230322>0.15,1.425
PIM,1.58,710230322>0.15,0.6725000000000001
CHK1,-1.57,710230322>0.15,-1.29
PHK,1.57,710230322>0.15,1.4
AUR,1.53,710230322>0.15,1.9475
DMPK,1.43,710230322>0.15,1.3125
RIPK,-1.38,710230322>0.15,-0.5049999999999999
STE11,-1.34,710230322>0.15,-0.9875
IRAK,-1.33,710230322>0.15,-1.385
KHS,-1.27,710230322>0.15,-1.0225
HAL,1.23,710230322>0.15,1.465
CLK,-1.21,710230322>0.15,-0.99
NIK,-1.21,710230322>0.15,-0.995
ULK,-1.2,710230322>0.15,-0.9975
CAMKK,-1.19,710230322>0.15,-0.9975
AKT,1.19,710230322>0.15,1.0825
PKN,1.16,710230322>0.15,0.3725
PDHK,1.04,710230322>0.15,0.8400000000000001
FRAY,1.02,710230322>0.15,0.885
LKB,-1.02,710230322>0.15,-0.775
MLCK,0.97,710230322>0.15,0.6975
