Kinase,Z,method,AvgZ
JNK,-3.68,710230322>0.15,-3.33
P38,-3.56,710230322>0.15,-3.3425
CK1,-3.16,710230322>0.15,-2.55
ERK,-2.85,710230322>0.15,-3.1774999999999998
CDK,-2.72,710230322>0.15,-2.9125
NMO,-2.61,710230322>0.15,-2.185
PLK,-2.59,710230322>0.15,-2.08
PKCI,2.51,710230322>0.15,2.7424999999999997
PKA,2.48,710230322>0.15,2.2275
STE7,-2.38,710230322>0.15,-1.8675
STKR,-2.25,710230322>0.15,-1.8875
FRAY,2,710230322>0.15,2.88
AKT,1.9,710230322>0.15,1.345
MARK,-1.89,710230322>0.15,-1.6324999999999998
AUR,1.88,710230322>0.15,2.3025
DYRK,-1.84,710230322>0.15,-2.12
MSN,1.78,710230322>0.15,1.4925
CHK1,-1.78,710230322>0.15,-1.045
PKCD,1.7,710230322>0.15,1.3075
MLK,1.62,710230322>0.15,1.8975
NAK,-1.59,710230322>0.15,-1.2825
BARK2,1.58,710230322>0.15,1.975
TLK,-1.55,710230322>0.15,-1.295
IKK,-1.3,710230322>0.15,-0.7525
HAL,1.27,710230322>0.15,0.5175
PAKA,1.18,710230322>0.15,1.6175
COT,1.18,710230322>0.15,0.6799999999999999
PKCH,1.16,710230322>0.15,1.2375
MELK,1.16,710230322>0.15,1.1875
MLCK,1.14,710230322>0.15,0.695
VRK1,1.14,710230322>0.15,0.9349999999999999
MOS,-1.11,710230322>0.15,-0.9
BRSK,-1.11,710230322>0.15,-0.9
NIK,-1.1,710230322>0.15,-0.9125
MTOR,1.1,710230322>0.15,0.815
ULK,-1.09,710230322>0.15,-0.8875
KHS,-1.09,710230322>0.15,-0.9125
CLK,-1.07,710230322>0.15,-0.9225
DMPK,1.07,710230322>0.15,0.775
PEK,-1.06,710230322>0.15,-0.2925
CAMKK,-1.06,710230322>0.15,-0.8975
PIM,1.01,710230322>0.15,0.6675
CK2,-1.01,710230322>0.15,-0.4175
PKG,0.98,710230322>0.15,1.38
GRK,-0.95,710230322>0.15,-0.845
STE11,-0.94,710230322>0.15,-0.7975
PASK,0.93,710230322>0.15,1.1199999999999999
RSK,0.93,710230322>0.15,0.8275
TAO,0.92,710230322>0.15,1.155
SLK,0.92,710230322>0.15,0.09750000000000003
WNK,0.92,710230322>0.15,1.12
IRAK,-0.9,710230322>0.15,-1.425
BUD32,0.88,710230322>0.15,1.125
PDK1,-0.79,710230322>0.15,-1.08
SGK,0.77,710230322>0.15,0.255
QIK,0.74,710230322>0.15,0.515
PHK,0.71,710230322>0.15,0.5225
CAMK1,-0.69,710230322>0.15,-0.79
ATR,-0.62,710230322>0.15,-0.4725
PKCA,-0.51,710230322>0.15,-0.1375
AMPK,-0.49,710230322>0.15,-0.09249999999999999
PDHK,0.39,710230322>0.15,0.35250000000000004
RAD53,0.37,710230322>0.15,-0.11499999999999999
PRKDC,-0.34,710230322>0.15,-0.21000000000000002
NEK,-0.24,710230322>0.15,0.7850000000000001
MAPKAPK,-0.23,710230322>0.15,0.13749999999999998
GSK,0.23,710230322>0.15,-0.19
NDR,0.2,710230322>0.15,-0.0025000000000000022
CAMK2,-0.19,710230322>0.15,0.215
ATM,-0.18,710230322>0.15,-0.0325
PKD,-0.18,710230322>0.15,0.2825
MST,0.17,710230322>0.15,-0.07500000000000001
PAKB,-0.15,710230322>0.15,-0.2125
PKN,-0.14,710230322>0.15,-0.58
TTK,-0.12,710230322>0.15,0.16499999999999998
NUAK,-0.11,710230322>0.15,0.185
RAF,-0.1,710230322>0.15,-0.6625000000000001
RIPK,0.07,710230322>0.15,-0.07749999999999999
DAPK,-0.05,710230322>0.15,-0.10249999999999998
LKB,-0.04,710230322>0.15,0.04000000000000001
JNK,-3.45,710230322>0.2,-3.33
P38,-3.13,710230322>0.2,-3.3425
CDK,-2.92,710230322>0.2,-2.9125
PKCI,2.83,710230322>0.2,2.7424999999999997
ERK,-2.78,710230322>0.2,-3.1774999999999998
PLK,-2.73,710230322>0.2,-2.08
CK1,-2.68,710230322>0.2,-2.55
STE7,-2.58,710230322>0.2,-1.8675
FRAY,2.5,710230322>0.2,2.88
AUR,2.23,710230322>0.2,2.3025
NMO,-2.11,710230322>0.2,-2.185
MSN,2.07,710230322>0.2,1.4925
MLK,2.03,710230322>0.2,1.8975
STKR,-1.9,710230322>0.2,-1.8875
BARK2,1.75,710230322>0.2,1.975
PKA,1.68,710230322>0.2,2.2275
DYRK,-1.66,710230322>0.2,-2.12
IKK,-1.66,710230322>0.2,-0.7525
IRAK,-1.64,710230322>0.2,-1.425
MARK,-1.63,710230322>0.2,-1.6324999999999998
PKCD,1.51,710230322>0.2,1.3075
AKT,1.5,710230322>0.2,1.345
TLK,-1.45,710230322>0.2,-1.295
PAKA,1.43,710230322>0.2,1.6175
CHK1,-1.41,710230322>0.2,-1.045
VRK1,1.4,710230322>0.2,0.9349999999999999
NAK,-1.35,710230322>0.2,-1.2825
COT,1.33,710230322>0.2,0.6799999999999999
STE11,-1.3,710230322>0.2,-0.7975
GRK,-1.2,710230322>0.2,-0.845
PKG,1.16,710230322>0.2,1.38
PKCH,1.06,710230322>0.2,1.2375
TAO,1.06,710230322>0.2,1.155
CLK,-1.05,710230322>0.2,-0.9225
SLK,1.03,710230322>0.2,0.09750000000000003
WNK,1.01,710230322>0.2,1.12
BUD32,1,710230322>0.2,1.125
NIK,-1,710230322>0.2,-0.9125
KHS,-0.99,710230322>0.2,-0.9125
MOS,-0.99,710230322>0.2,-0.9
CAMKK,-0.98,710230322>0.2,-0.8975
PASK,0.98,710230322>0.2,1.1199999999999999
BRSK,-0.98,710230322>0.2,-0.9
ULK,-0.96,710230322>0.2,-0.8875
RSK,0.92,710230322>0.2,0.8275
QIK,0.91,710230322>0.2,0.515
MELK,0.9,710230322>0.2,1.1875
RAF,-0.79,710230322>0.2,-0.6625000000000001
DMPK,0.76,710230322>0.2,0.775
PDK1,-0.74,710230322>0.2,-1.08
PHK,0.69,710230322>0.2,0.5225
MTOR,0.69,710230322>0.2,0.815
CK2,-0.69,710230322>0.2,-0.4175
GSK,-0.67,710230322>0.2,-0.19
CAMK1,-0.66,710230322>0.2,-0.79
RAD53,0.64,710230322>0.2,-0.11499999999999999
PIM,0.57,710230322>0.2,0.6675
MLCK,0.48,710230322>0.2,0.695
NDR,0.48,710230322>0.2,-0.0025000000000000022
SGK,0.46,710230322>0.2,0.255
PEK,-0.44,710230322>0.2,-0.2925
LKB,-0.31,710230322>0.2,0.04000000000000001
RIPK,-0.29,710230322>0.2,-0.07749999999999999
NEK,0.28,710230322>0.2,0.7850000000000001
MAPKAPK,0.26,710230322>0.2,0.13749999999999998
ATR,-0.24,710230322>0.2,-0.4725
CAMK2,-0.21,710230322>0.2,0.215
MST,-0.17,710230322>0.2,-0.07500000000000001
PKD,-0.14,710230322>0.2,0.2825
PDHK,0.07,710230322>0.2,0.35250000000000004
NUAK,0.07,710230322>0.2,0.185
PAKB,0.07,710230322>0.2,-0.2125
PKCA,-0.07,710230322>0.2,-0.1375
AMPK,0.05,710230322>0.2,-0.09249999999999999
TTK,0.05,710230322>0.2,0.16499999999999998
PRKDC,0.03,710230322>0.2,-0.21000000000000002
DAPK,0.02,710230322>0.2,-0.10249999999999998
ATM,0.01,710230322>0.2,-0.0325
HAL,-0.01,710230322>0.2,0.5175
PKN,-0,710230322>0.2,-0.58
FRAY,3.52,710230322>0.3,2.88
ERK,-3.32,710230322>0.3,-3.1774999999999998
P38,-3.07,710230322>0.3,-3.3425
JNK,-2.99,710230322>0.3,-3.33
CDK,-2.94,710230322>0.3,-2.9125
PKCI,2.9,710230322>0.3,2.7424999999999997
PKA,2.51,710230322>0.3,2.2275
AUR,2.33,710230322>0.3,2.3025
CK1,-2.26,710230322>0.3,-2.55
DYRK,-2.21,710230322>0.3,-2.12
BARK2,2.16,710230322>0.3,1.975
NMO,-2.11,710230322>0.3,-2.185
MLK,1.98,710230322>0.3,1.8975
PAKA,1.96,710230322>0.3,1.6175
PLK,-1.92,710230322>0.3,-2.08
STE7,-1.5,710230322>0.3,-1.8675
MSN,1.46,710230322>0.3,1.4925
IRAK,-1.44,710230322>0.3,-1.425
PKCH,1.42,710230322>0.3,1.2375
STKR,-1.41,710230322>0.3,-1.8875
PKG,1.41,710230322>0.3,1.38
TAO,1.26,710230322>0.3,1.155
NEK,1.24,710230322>0.3,0.7850000000000001
BUD32,1.24,710230322>0.3,1.125
MELK,1.23,710230322>0.3,1.1875
WNK,1.22,710230322>0.3,1.12
PASK,1.19,710230322>0.3,1.1199999999999999
MARK,-1.17,710230322>0.3,-1.6324999999999998
NAK,-1.17,710230322>0.3,-1.2825
TLK,-1.17,710230322>0.3,-1.295
PKN,-1.16,710230322>0.3,-0.58
AKT,1.16,710230322>0.3,1.345
PKCD,1.1,710230322>0.3,1.3075
PDK1,-1.02,710230322>0.3,-1.08
RSK,1.02,710230322>0.3,0.8275
VRK1,0.96,710230322>0.3,0.9349999999999999
MLCK,0.93,710230322>0.3,0.695
MTOR,0.9,710230322>0.3,0.815
COT,0.9,710230322>0.3,0.6799999999999999
KHS,-0.83,710230322>0.3,-0.9125
CLK,-0.83,710230322>0.3,-0.9225
CAMKK,-0.82,710230322>0.3,-0.8975
NIK,-0.82,710230322>0.3,-0.9125
SLK,-0.82,710230322>0.3,0.09750000000000003
BRSK,-0.8,710230322>0.3,-0.9
ULK,-0.79,710230322>0.3,-0.8875
MOS,-0.78,710230322>0.3,-0.9
DMPK,0.77,710230322>0.3,0.775
ATR,-0.7,710230322>0.3,-0.4725
PKD,0.69,710230322>0.3,0.2825
CHK1,-0.66,710230322>0.3,-1.045
CAMK2,0.65,710230322>0.3,0.215
RAF,-0.65,710230322>0.3,-0.6625000000000001
STE11,-0.65,710230322>0.3,-0.7975
CAMK1,-0.65,710230322>0.3,-0.79
PIM,0.6,710230322>0.3,0.6675
MAPKAPK,0.57,710230322>0.3,0.13749999999999998
PHK,0.56,710230322>0.3,0.5225
PDHK,0.46,710230322>0.3,0.35250000000000004
GRK,-0.46,710230322>0.3,-0.845
PRKDC,-0.46,710230322>0.3,-0.21000000000000002
RAD53,-0.46,710230322>0.3,-0.11499999999999999
ATM,0.45,710230322>0.3,-0.0325
MST,-0.45,710230322>0.3,-0.07500000000000001
LKB,0.4,710230322>0.3,0.04000000000000001
IKK,-0.36,710230322>0.3,-0.7525
GSK,0.32,710230322>0.3,-0.19
HAL,0.32,710230322>0.3,0.5175
QIK,0.31,710230322>0.3,0.515
NUAK,0.3,710230322>0.3,0.185
SGK,0.28,710230322>0.3,0.255
PAKB,0.28,710230322>0.3,-0.2125
DAPK,0.27,710230322>0.3,-0.10249999999999998
TTK,0.26,710230322>0.3,0.16499999999999998
AMPK,0.23,710230322>0.3,-0.09249999999999999
PEK,0.2,710230322>0.3,-0.2925
CK2,-0.13,710230322>0.3,-0.4175
NDR,0.03,710230322>0.3,-0.0025000000000000022
RIPK,-0.01,710230322>0.3,-0.07749999999999999
PKCA,-0,710230322>0.3,-0.1375
ERK,-3.76,710230322>0.4,-3.1774999999999998
P38,-3.61,710230322>0.4,-3.3425
FRAY,3.5,710230322>0.4,2.88
JNK,-3.2,710230322>0.4,-3.33
CDK,-3.07,710230322>0.4,-2.9125
DYRK,-2.77,710230322>0.4,-2.12
AUR,2.77,710230322>0.4,2.3025
PKCI,2.73,710230322>0.4,2.7424999999999997
BARK2,2.41,710230322>0.4,1.975
PKA,2.24,710230322>0.4,2.2275
CK1,-2.1,710230322>0.4,-2.55
STKR,-1.99,710230322>0.4,-1.8875
PKG,1.97,710230322>0.4,1.38
MLK,1.96,710230322>0.4,1.8975
NMO,-1.91,710230322>0.4,-2.185
PAKA,1.9,710230322>0.4,1.6175
NEK,1.86,710230322>0.4,0.7850000000000001
MARK,-1.84,710230322>0.4,-1.6324999999999998
PDK1,-1.77,710230322>0.4,-1.08
IRAK,-1.72,710230322>0.4,-1.425
MELK,1.46,710230322>0.4,1.1875
TAO,1.38,710230322>0.4,1.155
BUD32,1.38,710230322>0.4,1.125
PASK,1.38,710230322>0.4,1.1199999999999999
WNK,1.33,710230322>0.4,1.12
PKCH,1.31,710230322>0.4,1.2375
CAMK1,-1.16,710230322>0.4,-0.79
RAF,-1.11,710230322>0.4,-0.6625000000000001
PLK,-1.08,710230322>0.4,-2.08
PAKB,-1.05,710230322>0.4,-0.2125
PKN,-1.02,710230322>0.4,-0.58
NAK,-1.02,710230322>0.4,-1.2825
RAD53,-1.01,710230322>0.4,-0.11499999999999999
STE7,-1.01,710230322>0.4,-1.8675
