Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKG1,Q13976,AGC,PKG,NA,1.8812918285215325,1.744727494896694,2.3979400086720375,0.7496492315610545,0.757907156727801,0.05494302683418507,NA,31
STK38L,Q9Y2H1,AGC,NDR,NA,1.7174757802859626,1.6989700043360187,1.7958800173440752,1.1360807118582434,1.2145389373700104,0.13589363285807718,NA,8
MTOR,P42345,Atypical,PIKK,NA,1.6090611384103468,1.585026652029182,1.7958800173440752,1.2673700890228792,1.3178014825608861,0.14738797030084788,NA,6
PRKG2,Q13237,AGC,PKG,NA,1.497832050136267,1.494850021680094,1.9208187539523751,0.7424464005364787,0.738211951620133,0.057717628297858134,NA,28
CAMK2D,Q13557,CAMK,CAMK2,NA,1.1294250772127294,1.3565473235138126,1.6989700043360187,1.1417034239145727,0.9225684809840897,0.3589574620939013,NA,6
IKBKB,O14920,OTHER,IKK,NA,1.3142532326559726,1.3187587626244128,1.3979400086720375,1.594842748629178,1.5372656787725973,0.1287462421445684,NA,3
CAMK4,Q16566,CAMK,CAMK1,NA,1.1845012359658758,1.1426675035687315,1.585026652029182,0.9387665960955739,0.9445324261769799,0.07511056003154189,NA,9
CAMK2A,Q9UQM7,CAMK,CAMK2,NA,1.0143641378275585,0.9928237496744956,1.585026652029182,0.8445953106357097,0.8751850670332997,0.38765667904035234,NA,5
MAP3K14,Q99558,STE,STE-Unique,NA,0.9371964865675811,0.9665762445130504,1.0087739243075051,1.0815638036959447,1.0361870834998999,0.1014654309543437,NA,3
PRKAB1,Q9Y478,NA,NA,NA,0.9687634390790502,0.9430951486635274,1.0655015487564323,1.0138278961704266,1.0138278961704266,0,NA,5
PRKAA1,Q13131,CAMK,CAMKL,NA,0.9395037946359022,0.9136401693252518,1.1191864077192086,0.7611931993238314,0.8230505601546703,0.0831693454812454,NA,9
NEK8,Q86SG6,NEK,NEK,NA,0.9033067959282675,0.8928430512878001,1,1.0368312678400893,1.0368312678400893,0.09478459253892928,NA,4
PRKACA,P17612,AGC,PKA,NA,0.8891879556046347,0.8728952016351923,1,0.5751322694434909,0.5765459515419786,0.009864572710665181,NA,47
CSNK2A1,P68400,CMGC,CK2,NA,0.8457206396846991,0.8416375079047503,0.9136401693252518,0.8845974938546229,0.8845974938546229,0,NA,3
DCLK2,Q8N568,CAMK,DCAMKL,NA,0.8441020685366721,0.8239087409443188,1.4436974992327127,0.7449725845875531,0.8133240849713911,0.30587252006515525,NA,10
PIM1,P11309,CAMK,PIM,NA,0.7231152617164766,0.7958800173440752,0.8601209135987634,0.5535722395498085,0.5452413933352585,0.026725156190832294,NA,54
PIM2,Q9P1W9,CAMK,PIM,NA,0.7804702409105517,0.769551078621726,0.9430951486635274,0.5991033918380948,0.602563090246366,0.011498530166026364,NA,33
PRKCB,P05771,AGC,PKC,NA,0.6505587831127372,0.7166987712964504,0.8794260687941501,0.6440310848771614,0.5925086187798383,0.06709454161886676,NA,22
RPS6KA5,O75582,AGC-CAMK,RSK,NA,0.6662791182100641,0.6497519816658371,0.8477116556169435,0.561070914961447,0.560791493107596,0.01652614231347539,NA,40
PLK3,Q9H4B4,CAMK,PLK,NA,0.6361247714990675,0.6420651529995461,0.6736641390712486,0.644428423200228,0.6653539629158078,0.024829978328325824,NA,5
AURKA,O14965,CAMK,AUR,NA,0.6015751735226362,0.6020599913279624,0.6575773191777937,0.629047340422154,0.629047340422154,0,NA,4
RPS6KL1,Q9Y6S9,OTHER,RSKL,NA,0.5912806975091893,0.591773288708416,0.6345120151091003,0.6177640778738855,0.6177640778738855,0,NA,3
CDKL4,Q5MAI5,CMGC,CDKL,NA,0.5768528779429127,0.5901490839493553,0.645891560852599,0.6161692726151736,0.5961012714802841,0.03715871762587813,NA,4
ATR,Q13535,Atypical,PIKK,NA,0.5155845308455614,0.5686362358410126,0.6345120151091003,0.6271620005838586,0.577108831251626,0.15015950799669775,NA,7
ARAF,P10398,TKL,RAF,NA,0.5774721726585719,0.5654310959658012,0.638272163982407,0.6131251911425716,0.6131251911425716,0,NA,3
PIM3,Q86V86,CAMK,PIM,NA,0.5774721726585719,0.5654310959658012,0.638272163982407,0.6131251911425716,0.6131251911425716,0,NA,3
CDKL1,Q00532,CMGC,CDKL,NA,0.6190020842362556,0.562249437179612,0.744727494896694,0.6239301982650488,0.6640943956415636,0.08488803993527683,NA,6
BRAF,P15056,TKL,RAF,NA,0.5192680421309741,0.5590909179347823,0.638272163982407,0.6131251911425716,0.5686690387124012,0.08821494268275792,NA,3
IKBKE,Q14164,OTHER,IKK,NA,0.5453816302127232,0.5590909179347823,0.8728952016351923,0.5823176097364833,0.6072511893246235,0.21933589348756163,NA,8
CDK18,Q07002,CMGC,CDK,NA,0.543633966870957,0.543633966870957,0.543633966870957,0.5612944081222916,0.5612944081222916,NA,NA,3
CHEK2,O96017,CAMK,RAD53,NA,0.545468783651699,0.5376020021010439,0.6345120151091003,0.5876989119740393,0.5902822521714598,0.013950027004272543,NA,16
CDK13,Q14004,CMGC,CDK,NA,0.5024728522409977,0.5181060863272223,0.6420651529995461,0.5663353791975156,0.5545464162490232,0.10659106694146044,NA,4
CDK15,Q96Q40,CMGC,CDK,NA,0.507147322615937,0.5114492834995558,0.543633966870957,0.5396425930201152,0.5487153135135061,0.018003121605233798,NA,3
PRKX,P51817,AGC,PKA,NA,0.5163274118040384,0.494850021680094,0.8416375079047503,0.5310943968016117,0.5515159632979851,0.07213259002574567,NA,27
