Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKCB,P05771,AGC,PKC,NA,2.3484446479537793,2.6989700043360187,2.6989700043360187,-1.146387942870011,-1.107993094072803,0.04684684620566501,NA,17
PRKG1,Q13976,AGC,PKG,NA,2.4437849831958487,2.6989700043360187,2.6989700043360187,-1.065751667339075,-1.0582634190386622,0.03284412282894301,NA,22
STK38L,Q9Y2H1,AGC,NDR,NA,2.4395862542081375,2.6989700043360187,2.6989700043360187,-1.4038053097626693,-1.4426489339939406,0.06727913071867533,NA,6
PRKACA,P17612,AGC,PKA,NA,2.240258974478485,2.3979400086720375,2.6989700043360187,-0.9849619101673035,-0.978360619651633,0.015830426282486897,NA,32
CAMK2A,Q9UQM7,CAMK,CAMK2,NA,2.1989700043360187,2.1989700043360187,2.3979400086720375,-1.389849907309309,-1.389849907309309,0.04999479693323881,NA,4
PRKCQ,Q04759,AGC,PKC,NA,2.0356436156731474,2,2.6989700043360187,-1.0938261307111017,-1.0861128366835096,0.03492611318887879,NA,16
PIM1,P11309,CAMK,PIM,NA,2.019407167264454,1.9208187539523751,2.6989700043360187,-0.9235141987592915,-0.9216129423815218,0.006992336748830319,NA,44
PRKCD,Q05655,AGC,PKC,NA,1.8605706624823986,1.853871964321762,2.0969100130080562,-1.0616834091251026,-1.0632960180217055,0.011760219792635347,NA,17
PRKCA,P17252,AGC,PKC,NA,1.8271844741449,1.7958800173440752,2.3979400086720375,-1.0763892833748525,-1.052747010845668,0.032776960889977745,NA,17
PRKCG,P05129,AGC,PKC,NA,1.4280494678495743,1.4436974992327127,1.6197887582883939,-1.0784804514287332,-1.0752472339266155,0.009699652506352779,NA,11
RPS6KA5,O75582,AGC-CAMK,RSK,NA,1.4302043912553548,1.4436974992327127,1.853871964321762,-0.9453172067035107,-0.9449406924483623,0.01314311419441301,NA,30
CAMK4,Q16566,CAMK,CAMK1,NA,1.3089138873053265,1.3979400086720375,1.6989700043360187,-1.1599034481151227,-1.1308787380715102,0.07944787301783435,NA,7
PRKCH,P24723,AGC,PKC,NA,1.3060211102964132,1.3565473235138126,1.5528419686577808,-1.0743556791327549,-1.078887437159396,0.0189491164860169,NA,10
PRKG2,Q13237,AGC,PKG,NA,1.3104351536032453,1.3010299956639813,1.6197887582883939,-0.9665347181414161,-0.9764252552467692,0.027501173114374857,NA,20
PIM2,Q9P1W9,CAMK,PIM,NA,1.2397526115316642,1.154901959985743,1.6989700043360187,-0.9380844627459168,-0.9388723313031628,0.01096848546670471,NA,28
CAMK2D,Q13557,CAMK,CAMK2,NA,0.8049161001623274,1.0457574905606752,1.2218487496163564,-1.1287485394781427,-0.998822206373526,0.18317739075661388,NA,5
PRKCZ,Q05513,AGC,PKC,NA,1.0254341249212138,1.0457574905606752,1.0861861476162833,-1.0669441427104058,-1.058156109680089,0.017438212433729446,NA,8
MTOR,P42345,Atypical,PIKK,NA,1.0267384284354653,1,1.207608310501746,-1.0963267762086621,-1.1379098527483213,0.049311462743413435,NA,5
PRKCE,Q02156,AGC,PKC,NA,0.8852552104801902,0.958607314841775,1.0362121726544447,-0.9681968804496791,-0.9557836159132885,0.02739195684771159,NA,15
PRKAA1,Q13131,CAMK,CAMKL,NA,0.9586744877124724,0.9281179926938746,1.1804560644581312,-1.0443380631413859,-1.065805142375656,0.029212233665074912,NA,7
RPS6KB2,Q9UBS0,AGC,RSK,NA,0.8712697428275767,0.8124792791635369,1.4685210829577449,-0.9425302795465322,-0.9309713070459705,0.0844365728922821,NA,13
AKT2,P31751,AGC,AKT,NA,0.7492256972327531,0.712198270069774,1.0268721464003014,-0.9204157583451011,-0.917541693698916,0.01962010521630957,NA,18
AURKA,O14965,CAMK,AUR,NA,0.6993679652402923,0.7033348097384688,0.7351821769904635,-1.02374407239172,-1.02374407239172,0,NA,4
PRKX,P51817,AGC,PKA,NA,0.6648751240654818,0.6946486305533762,0.7798919119599449,-0.9018742518504335,-0.9123708726458482,0.040550132297222895,NA,18
PSKH1,P11801,CAMK,PSK,NA,0.6676790122219372,0.6676790122219372,0.6777807052660807,-1.0474599533597369,-1.0474599533597369,0,NA,3
PRKAB1,Q9Y478,NA,NA,NA,0.6635675683672448,0.6345120151091003,0.8013429130455774,-1.0131640995086457,-1.0131640995086457,0,NA,4
PRKACB,P22694,AGC,PKA,NA,0.6835800717515744,0.6345120151091003,1.0655015487564323,-0.9034186459711228,-0.9121719976022554,0.028071203264409622,NA,15
CDK17,Q00537,CMGC,CDK,NA,0.619788758288394,0.619788758288394,0.619788758288394,-0.9770285039193097,-0.9770285039193097,NA,NA,3
ROCK2,O75116,AGC,DMPK,NA,0.7562384421645953,0.5590909179347823,1.1674910872937636,-0.9604350359433244,-1.047683027383257,0.11946923252167178,NA,3
COQ8A,Q8NI60,Atypical,ABC1,NA,0.7800128941814399,0.549750891680639,1.6989700043360187,-0.9245982222009056,-1.051030263841509,0.24580612983057626,NA,6
CDK6,Q00534,CMGC,CDK,NA,0.5038859762852922,0.5257837359237448,0.585026652029182,-0.9434922415600715,-0.9277152865578772,0.04733086500658305,NA,4
PRKY,O43930,AGC,PKA,NA,0.45374478859257056,0.494850021680094,0.6819366650372385,-0.9259118327590017,-0.8949915311053667,0.06808898762482891,NA,8
CDK18,Q07002,CMGC,CDK,NA,0.4921441283041691,0.4921441283041691,0.4921441283041691,-0.905918393271168,-0.905918393271168,NA,NA,3
CDKL1,Q00532,CMGC,CDKL,NA,0.4894248550637979,0.4841261562883209,0.5346171485515817,-0.9250671781541946,-0.9119375468640918,0.02399221229783347,NA,5
CSNK2A1,P68400,CMGC,CK2,NA,0.45431899374801715,0.4559319556497244,0.4762535331884355,-0.9065901759089977,-0.9065901759089977,0,NA,3
DCLK2,Q8N568,CAMK,DCAMKL,NA,0.5812390216938521,0.44611697335612566,1.2518119729937995,-0.8863963335224672,-0.9581734689278896,0.16075873599468946,NA,7
IKBKB,O14920,OTHER,IKK,NA,0.43703963855634925,0.4412914294668343,0.46344155742846993,-0.8962008927560731,-0.8962008927560731,0,NA,3
CHEK2,O96017,CAMK,RAD53,NA,0.4811596985603175,0.4294570601181025,0.6695862266508091,-0.8700013802796408,-0.8771241986880658,0.02852137558400251,NA,12
RPS6KA4,O75676,AGC-CAMK,RSK,NA,0.42108431845825994,0.42108431845825994,0.44855000202712486,-0.8827453602973317,-0.8827453602973317,0,NA,3
AKT1,P31749,AGC,AKT,NA,0.47715440060869163,0.41341269532824504,0.6903698325741012,-0.8570365274062658,-0.8656205350711781,0.02380513451064165,NA,19
CAMK2G,Q13555,CAMK,CAMK2,NA,0.35834429563173964,0.4078360262901093,0.42712839779951983,-0.8921565968598744,-0.8428740174706234,0.10034851253968387,NA,4
AURKB,Q96GD4,CAMK,AUR,NA,0.3992643773719628,0.3957739469155299,0.42481215507233894,-0.8640429415487664,-0.8640429415487664,0,NA,3
PKN1,Q16512,AGC,PKN,NA,0.3843200064365937,0.37675070960209955,0.438898616350944,-0.840935486131053,-0.8517826360128621,0.021524145765832888,NA,4
CAMK2B,Q13554,CAMK,CAMK2,NA,0.3491266956928491,0.3605180799916949,0.39147396642280585,-0.8621482890085804,-0.8446868991018396,0.03492277981348163,NA,4
PRKCI,P41743,AGC,PKC,NA,0.33670181590827086,0.3372421683184259,0.46852108295774486,-0.8515372288085067,-0.8342962086910257,0.028358755208115084,NA,13
MYLK3,Q32MK0,CAMK,MLCK,NA,0.3286019366562901,0.32733274258005207,0.3585258894959005,-0.8385782935107146,-0.8385782935107146,0,NA,3
AKT3,Q9Y243,AGC,AKT,NA,0.3279282760181715,0.3182692255867033,0.393618634889395,-0.8277688356432287,-0.8302266365464335,0.02361317247767144,NA,5
MAPKAPK3,Q16644,CAMK,MAPKAPK,NA,0.23954521817224475,0.3115801779972894,0.3851027839668654,-0.8324021508890498,-0.7843276669512709,0.07129742651833403,NA,18
CDK19,Q9BWU1,CMGC,CDK,NA,0.30899558867143334,0.29929628285498067,0.3391345219961308,-0.8014996465403224,-0.8014996465403224,0,NA,3
