Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,294,257,KEA3,0.11142857142857143,1,AAK1,OTHER,"NAK",BIKE
ABL1,52.666666666666664,28,KEA3,0.9171428571428571,4,ABL1,TK,ABL,NA
ABL2,147.33333333333334,153,KEA3,0.4542857142857143,2,ABL2,TK,ABL,NA
ACVR1,168.5,177,KEA3,0.3628571428571429,2,ACVR1,TKL,STKR,TYPE1
ACVR1B,181,184,KEA3,0.33714285714285713,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,211,203,KEA3,0.27714285714285714,2,ACVR2B,TKL,STKR,TYPE2
AKT1,65.33333333333333,40,KEA3,0.8742857142857143,4,AKT1,AGC,AKT,NA
AKT2,97.66666666666667,89,KEA3,0.6828571428571428,3,AKT2,AGC,AKT,NA
AKT3,17,8,KEA3,0.98,4,AKT3,AGC,AKT,NA
ALK,106,103,KEA3,0.6285714285714286,3,ALK,TK,ALK,NA
ARAF,114.5,115,KEA3,0.5885714285714285,3,ARAF,TKL,RAF,RAF
ATM,80.33333333333333,60,KEA3,0.7971428571428572,4,ATM,ATYPICAL,PIKK,ATM
ATR,43.666666666666664,21,KEA3,0.9371428571428572,4,ATR,ATYPICAL,PIKK,ATR
AURKA,91.66666666666667,77,KEA3,0.7285714285714285,3,AURKA,OTHER,AUR,NA
AURKB,83,67,KEA3,0.7657142857142857,4,AURKB,OTHER,AUR,NA
AURKC,184.5,188,KEA3,0.32571428571428573,2,AURKC,OTHER,AUR,NA
AXL,191.5,193,KEA3,0.30857142857142855,2,AXL,TK,AXL,NA
BLK,254.5,231,KEA3,0.18571428571428572,1,BLK,TK,SRC,SRCB
BMP2K,323,282,KEA3,0.04,1,BMP2K,OTHER,"NAK",BIKE
BMPR1A,153.5,161,KEA3,0.42,2,BMPR1A,TKL,STKR,TYPE1
BMPR1B,91,76,KEA3,0.7314285714285714,3,BMPR1B,TKL,STKR,TYPE1
BMPR2,216.5,206,KEA3,0.26571428571428574,2,BMPR2,TKL,STKR,TYPE2
BMX,80.66666666666667,61,KEA3,0.7914285714285715,4,BMX,TK,TEC,NA
BRAF,102,97,KEA3,0.6542857142857142,3,BRAF,TKL,RAF,RAF
BRSK1,222,210,KEA3,0.2542857142857143,2,BRSK1,CAMK,CAMKL,BRSK
BRSK2,300,263,KEA3,0.09428571428571429,1,BRSK2,CAMK,CAMKL,BRSK
BTK,75.66666666666667,54,KEA3,0.8171428571428572,4,BTK,TK,TEC,NA
BUB1,139.5,141,KEA3,0.48857142857142855,2,BUB1,OTHER,BUB,NA
CAMK1,178.33333333333334,183,KEA3,0.34,2,CAMK1,CAMK,CAMK1,NA
CAMK1D,239,220,KEA3,0.22285714285714286,1,CAMK1D,CAMK,CAMK1,NA
CAMK2A,42.333333333333336,19,KEA3,0.9428571428571428,4,CAMK2A,CAMK,CAMK2,NA
CAMK2B,115.5,118,KEA3,0.5742857142857143,3,CAMK2B,CAMK,CAMK2,NA
CAMK2D,93.66666666666667,80,KEA3,0.72,3,CAMK2D,CAMK,CAMK2,NA
CAMK2G,54,29,KEA3,0.9142857142857143,4,CAMK2G,CAMK,CAMK2,NA
CAMK4,132.66666666666666,136,KEA3,0.5057142857142857,3,CAMK4,CAMK,CAMK1,NA
CAMKK1,77.66666666666667,58,KEA3,0.8057142857142857,4,CAMKK1,OTHER,CAMKK,META
CAMKK2,94,81,KEA3,0.7114285714285714,3,CAMKK2,OTHER,CAMKK,META
CDC42BPA,278,247,KEA3,0.14,1,CDC42BPA,AGC,DMPK,GEK
CDC7,147,152,KEA3,0.45714285714285713,2,CDC7,OTHER,CDC7,NA
CDK1,107.5,106,KEA3,0.62,3,CDK1,CMGC,CDK,CDC2
CDK11A,331,288,KEA3,0.022857142857142857,1,CDK11A,NA,NA,NA
CDK12,312,274,KEA3,0.06285714285714286,1,CDK12,CMGC,CDK,CRK7
CDK15,253,229,KEA3,0.19142857142857142,1,CDK15,CMGC,CDK,PFTAIRE
CDK16,229,215,KEA3,0.23714285714285716,1,CDK16,CMGC,CDK,PCTAIRE
CDK18,241,221,KEA3,0.22,1,CDK18,CMGC,CDK,PCTAIRE
CDK19,76,55,KEA3,0.8142857142857143,4,CDK19,CMGC,CDK,CDK8
CDK2,59.333333333333336,34,KEA3,0.8971428571428571,4,CDK2,CMGC,CDK,CDC2
CDK20,66,42,KEA3,0.8628571428571429,4,CDK20,CMGC,CDK,CCRK
CDK3,154.33333333333334,162,KEA3,0.4142857142857143,2,CDK3,CMGC,CDK,CDC2
