Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,0.5058454059815573,2.6989700043360187,3.204815410317576,3.204815410317576,-0.6705356592628657,-0.6527554563431586,0.030932198202177047,-1.3853139071617988,46
PRKACB,P22694,AGC,PKA,0.5627041532298976,2.3038252820285425,3.204815410317576,3.3809066693732572,-0.7232741953412564,-0.695681122455728,0.059028164977901275,-1.3327155471518346,22
PRKX,P51817,AGC,PKA,0.4799552795212379,2.296386749847363,3.204815410317576,3.204815410317576,-0.7048833657822617,-0.6959964942656672,0.053304593973035004,-1.3827400003766592,26
PRKG2,Q13237,AGC,PKG,0.5449767968828197,2.2034819501405485,2.7276941555979133,3.204815410317576,-0.6329566193033701,-0.6385368298839136,0.03444159803474524,-1.4428863938734153,28
PRKG1,Q13976,AGC,PKG,0.44112008983075884,2.250811809281913,2.611188586526476,3.204815410317576,-0.6299155654565941,-0.6285499047665164,0.02974341432486834,-1.445935201338917,32
MTOR,P42345,Atypical,PIKK,0.9665762445130504,1.4950063374973848,2.519418213170831,2.711303739409744,-0.8326576191304417,-0.871629792975648,0.06392658983247347,-1.0945262764451147,6
AKT3,Q9Y243,AGC,AKT,0.7135632849789953,1.3348514606482422,2.038483988551051,2.3017254233256326,-0.7886126829120728,-0.7941196668171703,0.10573833004617413,-1.5811805138787713,8
STK38L,Q9Y2H1,AGC,NDR,0.5058454059815573,1.4068043921522535,1.9126497981338106,2.0006954276616513,-0.8175451248052336,-0.8175451248052336,0,-1.4521187670080895,6
PRKD1,Q15139,CAMK,PKD,0.6819366650372385,1.1897231564975148,1.9037854146535949,1.94954290521427,-0.7755164978978685,-0.7755164978978685,0,-1.5622862973131115,6
AKT1,P31749,AGC,AKT,0.5254111014321885,1.5042080631310202,1.8825961155836568,3.079876673709276,-0.6294003911525854,-0.6226764730942669,0.04285876012954179,-1.0600555502366706,22
AKT2,P31751,AGC,AKT,0.5058454059815573,1.5082749323869302,1.8623927294953697,2.9037854146535946,-0.6508545235731091,-0.6236118085027926,0.045829324824534154,-1.1454581997355684,22
CHUK,O15111,OTHER,IKK,0.6819366650372385,1.051299340784789,1.7276941555979137,1.82460416860597,-0.8972049529804008,-0.8972049529804008,0,-2.030166160281785,3
RPS6KA5,O75582,AGC-CAMK,RSK,0.3893398369101201,1.1635921329684298,1.5320073404788515,1.8095562402933099,-0.5265689800877184,-0.5210387407256175,0.023515038244902194,-1.2934140223732449,37
