Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
NUAK1,O60285,CAMK,CAMKL,0.47712125471966244,2.6989700043360187,3.1760912590556813,3.1760912590556813,-1.1617773847424173,-1.1617773847424173,0,-0.33701307855117957,3
DAPK3,O43293,CAMK,DAPK,0.17609125905568127,2.3979400086720375,2.574031267727719,2.574031267727719,-0.9572816402256382,-0.9572816402256382,NA,-0.27684644862637714,3
PRKY,O43930,AGC,PKA,0.1173941727037875,1.2286546649177679,1.5133334273741073,1.8336685782334752,0.48161709846807516,0.43681258144704793,0.19537034955232313,0.1547198329335238,8
CDK2,P24941,CMGC,CDK,0,1.2003792040905576,1.2518119729937995,1.4202164033831899,0.560808528079414,0.5241987170282921,0.09686045558633248,0.1586519936841312,4
MAPK9,P45984,CMGC,MAPK,0,1.2097506160956526,1.2218487496163564,1.4202164033831899,0.44150506484038216,0.43915702661275047,0.014893174167592808,0.06332071916213589,6
NPR2,P20594,RGC,RGC,0.05869708635189376,1.1580835075253868,1.207608310501746,1.3565473235138126,0.44558571834705224,0.47244906560815464,0.04652868231759557,0.04582127109024272,5
MAPK10,P53779,CMGC,MAPK,0,1.0467268589357321,1.0457574905606752,1.154901959985743,0.31374228481052124,0.3241122498548897,0.01555494756655268,0.020271798988498527,9
MAPK8,P45983,CMGC,MAPK,0,1.0428644026847085,1.0457574905606752,1.154901959985743,0.31374228481052124,0.3206555948401002,0.013718174305915909,0.020271798988498527,9
CDK4,P11802,CMGC,CDK,0,0.958607314841775,0.958607314841775,0.958607314841775,0.4726659500674786,0.4726659500674786,NA,0.13364922113384636,4
PRKAA1,Q13131,CAMK,CAMKL,0,0.9591215850153559,0.958607314841775,1.0969100130080565,0.26260873052385886,0.2661492909201283,0.01677763643670889,0.009182731834312952,11
PRKACA,P17612,AGC,PKA,0,0.7875486875335568,0.9507819773298184,1.2218487496163564,0.1317193599514782,0.11065176038123646,0.030436509801784962,0.03387416885294318,49
MAPK13,O15264,CMGC,MAPK,0,0.8903797271694398,0.8996294548824371,1.0177287669604316,0.34110159086087266,0.332502982964421,0.012897911844677508,0.047960210313130816,7
CSNK1A1,P48729,CK1,CK1,0,0.8305931750590523,0.8124792791635369,0.9665762445130504,0.29483694820114953,0.28713516409360473,0.036757375655345745,0.0239950215958284,8
MAPK3,P27361,CMGC,MAPK,0,0.8218031198182487,0.790484985457369,1.207608310501746,0.3297088837611869,0.3110561624543435,0.032536699500089555,0.02282508102490251,6
PRKCA,P17252,AGC,PKC,0,0.7627240130333949,0.744727494896694,0.9136401693252518,0.17389265621257277,0.17291988541739506,0.008549070112077652,0.08235307313519444,21
CDK9,P50750,CMGC,CDK,0,0.6105747988004417,0.712198270069774,0.7798919119599449,-0.3634549762217364,-0.31392962078002007,0.0742880331625745,-0.26408976270278883,4
AKT3,Q9Y243,AGC,AKT,0.05869708635189375,0.5444455883189853,0.6777807052660807,1.2730012720637378,0.24812425139524982,0.22160833903240032,0.1273687229924492,0.08927080014778943,8
